2026-04-11T15:16:05.097350+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T15:29:35.831276+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-11T15:30:10.606641+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-11T15:30:46.197884+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-11T15:31:23.038740+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-11T15:32:01.364705+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-11T15:32:36.792300+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-11T15:33:14.280113+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-11T15:33:51.882285+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-11T15:34:27.729549+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-11T19:05:57.628806+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-11T19:06:33.647833+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-11T19:07:23.306951+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-11T19:08:01.447964+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-11T19:08:36.309032+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-11T19:09:34.752610+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-11T19:10:10.158716+00:00 | Ride Wit Me (Feat. City Spud) | Nelly | source:amperwave-api
2026-04-11T19:10:45.824408+00:00 | Ride Wit Me (Feat. City Spud) | Nelly | source:amperwave-api
2026-04-11T19:11:21.105204+00:00 | Ride Wit Me (Feat. City Spud) | Nelly | source:amperwave-api
2026-04-11T19:11:55.920803+00:00 | Ride Wit Me (Feat. City Spud) | Nelly | source:amperwave-api
2026-04-11T19:12:31.502035+00:00 | Ride Wit Me (Feat. City Spud) | Nelly | source:amperwave-api
2026-04-11T19:13:09.122846+00:00 | Ride Wit Me (Feat. City Spud) | Nelly | source:amperwave-api
