2026-04-19T00:00:32.534191+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:01:08.649527+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:01:44.714845+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:02:20.904697+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:02:58.020979+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:03:35.419841+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:04:11.446551+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:04:48.189378+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:05:24.998829+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:06:01.771863+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:06:38.059871+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:07:15.196629+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:07:51.804145+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:08:32.161456+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:09:09.628260+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:09:46.407423+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:10:29.681320+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:11:16.716375+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:11:53.659770+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:12:38.668904+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:13:23.343061+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:14:00.543728+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:14:48.658375+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:15:30.415811+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:16:07.404870+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:16:51.278828+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
