2026-04-11T15:29:40.187070+00:00 | Hey Look Ma, I Made It | Panic! At The Disco | source:amperwave-api
2026-04-11T15:30:15.601280+00:00 | Hey Look Ma, I Made It | Panic! At The Disco | source:amperwave-api
2026-04-11T15:30:51.358311+00:00 | Hey Look Ma, I Made It | Panic! At The Disco | source:amperwave-api
2026-04-11T15:31:30.939366+00:00 | Hey Look Ma, I Made It | Panic! At The Disco | source:amperwave-api
2026-04-11T15:32:06.377560+00:00 | Hey Look Ma, I Made It | Panic! At The Disco | source:amperwave-api
2026-04-11T15:32:41.832773+00:00 | Hey Look Ma, I Made It | Panic! At The Disco | source:amperwave-api
2026-04-11T15:33:21.563948+00:00 | Hey Look Ma, I Made It | Panic! At The Disco | source:amperwave-api
2026-04-11T15:33:57.190970+00:00 | Hey Look Ma, I Made It | Panic! At The Disco | source:amperwave-api
2026-04-11T19:06:03.295570+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-11T19:06:39.627050+00:00 | Stay | The Kid Laroi Ft. Justin Bieber | source:amperwave-api
2026-04-11T19:07:31.106468+00:00 | Stay | The Kid Laroi Ft. Justin Bieber | source:amperwave-api
2026-04-11T19:08:05.735617+00:00 | Stay | The Kid Laroi Ft. Justin Bieber | source:amperwave-api
2026-04-11T19:09:04.390750+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-11T19:09:39.777825+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-11T19:10:14.896984+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-11T19:10:50.824945+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-11T19:11:25.477330+00:00 | Closer | Chainsmokers Feat. Halsey | source:amperwave-api
2026-04-11T19:12:00.524920+00:00 | Closer | Chainsmokers Feat. Halsey | source:amperwave-api
2026-04-11T19:12:38.689173+00:00 | Closer | Chainsmokers Feat. Halsey | source:amperwave-api
2026-04-11T19:13:13.510145+00:00 | Closer | Chainsmokers Feat. Halsey | source:amperwave-api
2026-04-11T19:14:15.453976+00:00 | Closer | Chainsmokers Feat. Halsey | source:amperwave-api
2026-04-11T19:14:50.235366+00:00 | Closer | Chainsmokers Feat. Halsey | source:amperwave-api
2026-04-11T19:15:25.430004+00:00 | Closer | Chainsmokers Feat. Halsey | source:amperwave-api
2026-04-11T19:16:00.554465+00:00 | A Bar Song | Shaboozey | source:amperwave-api
2026-04-11T19:16:35.247852+00:00 | A Bar Song | Shaboozey | source:amperwave-api
2026-04-11T19:17:10.006615+00:00 | A Bar Song | Shaboozey | source:amperwave-api
2026-04-11T19:17:45.228462+00:00 | A Bar Song | Shaboozey | source:amperwave-api
2026-04-11T19:18:20.099933+00:00 | Break Free | Ariana Grande Feat. Zedd | source:amperwave-api
2026-04-11T19:18:55.830556+00:00 | Break Free | Ariana Grande Feat. Zedd | source:amperwave-api
2026-04-11T19:19:30.145324+00:00 | Break Free | Ariana Grande Feat. Zedd | source:amperwave-api
2026-04-11T19:20:07.361628+00:00 | Break Free | Ariana Grande Feat. Zedd | source:amperwave-api
2026-04-11T19:20:43.754083+00:00 | Break Free | Ariana Grande Feat. Zedd | source:amperwave-api
2026-04-11T19:21:18.534943+00:00 | Break Free | Ariana Grande Feat. Zedd | source:amperwave-api
2026-04-11T19:21:52.792557+00:00 | Perfect | Ed Sheeran | source:amperwave-api
2026-04-11T19:22:27.313941+00:00 | Perfect | Ed Sheeran | source:amperwave-api
2026-04-11T19:23:26.086678+00:00 | Perfect | Ed Sheeran | source:amperwave-api
2026-04-11T19:24:00.632157+00:00 | Perfect | Ed Sheeran | source:amperwave-api
2026-04-11T19:24:34.901965+00:00 | Perfect | Ed Sheeran | source:amperwave-api
2026-04-11T19:25:11.374056+00:00 | Perfect | Ed Sheeran | source:amperwave-api
2026-04-11T19:25:48.005180+00:00 | Perfect | Ed Sheeran | source:amperwave-api
2026-04-11T19:26:47.142066+00:00 | Perfect | Ed Sheeran | source:amperwave-api
2026-04-11T19:27:21.600697+00:00 | Perfect | Ed Sheeran | source:amperwave-api
2026-04-11T19:27:56.404209+00:00 | Perfect | Ed Sheeran | source:amperwave-api
2026-04-11T19:28:33.330547+00:00 | Perfect | Ed Sheeran | source:amperwave-api
2026-04-11T19:29:08.169164+00:00 | Perfect | Ed Sheeran | source:amperwave-api
2026-04-11T19:29:43.317622+00:00 | Perfect | Ed Sheeran | source:amperwave-api
2026-04-11T19:30:18.508819+00:00 | Perfect | Ed Sheeran | source:amperwave-api
2026-04-11T19:30:52.516550+00:00 | Perfect | Ed Sheeran | source:amperwave-api
2026-04-11T19:31:28.816382+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-11T19:32:04.632154+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-11T19:32:39.647400+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-11T19:33:14.494311+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-11T19:33:49.258572+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-11T19:34:24.065319+00:00 | Golden | Huntr/X | source:amperwave-api
