2026-04-19T14:41:08.100846+00:00 | Messy | Lola Young | source:securenet-history
2026-04-19T14:42:17.553660+00:00 | Messy | Lola Young | source:securenet-history
2026-04-19T14:43:34.615778+00:00 | Messy | Lola Young | source:securenet-history
2026-04-19T14:45:04.084671+00:00 | Silent Treatment | Freya Skye | source:securenet-history
2026-04-19T14:47:43.402560+00:00 | Residuals | Chris Brown | source:securenet-history
2026-04-19T14:49:39.073226+00:00 | Opalite | Taylor Swift | source:securenet-history
2026-04-19T14:51:29.972440+00:00 | Opalite | Taylor Swift | source:securenet-history
2026-04-19T14:53:17.981919+00:00 | Opalite | Taylor Swift | source:securenet-history
2026-04-19T14:55:03.398129+00:00 | Still Don'T Care | Meghan Trainor | source:securenet-history
2026-04-19T14:57:13.803637+00:00 | Folded | Kehlani | source:securenet-history
2026-04-19T14:59:14.352624+00:00 | Folded | Kehlani | source:securenet-history
2026-04-19T15:00:57.606148+00:00 | Cry For Me | The Weeknd | source:securenet-history
2026-04-19T15:02:50.132075+00:00 | Cry For Me | The Weeknd | source:securenet-history
2026-04-19T15:04:52.751470+00:00 | Golden | Huntr/X F/Ejae, Audrey Nuna, Rei Ami | source:securenet-history
2026-04-19T15:06:17.990542+00:00 | Golden | Huntr/X F/Ejae, Audrey Nuna, Rei Ami | source:securenet-history
2026-04-19T15:07:54.304777+00:00 | Sunroof | Nicky Youre F/Dazy | source:securenet-history
2026-04-19T15:09:02.799765+00:00 | Sunroof | Nicky Youre F/Dazy | source:securenet-history
2026-04-19T15:10:28.626338+00:00 | Midnight Sun | Zara Larsson | source:securenet-history
2026-04-19T15:12:10.273660+00:00 | Midnight Sun | Zara Larsson | source:securenet-history
2026-04-19T15:13:14.898049+00:00 | Man I Need | Olivia Dean | source:securenet-history
2026-04-19T15:14:25.541242+00:00 | Man I Need | Olivia Dean | source:securenet-history
2026-04-19T15:15:14.034623+00:00 | Man I Need | Olivia Dean | source:securenet-history
2026-04-19T15:15:54.265889+00:00 | Man I Need | Olivia Dean | source:securenet-history
2026-04-19T15:16:35.981471+00:00 | Man I Need | Olivia Dean | source:securenet-history
2026-04-19T15:17:17.308062+00:00 | Man I Need | Olivia Dean | source:securenet-history
2026-04-19T15:17:58.492701+00:00 | Dance Monkey | Tones And I | source:securenet-history
2026-04-19T15:18:59.207758+00:00 | Dance Monkey | Tones And I | source:securenet-history
2026-04-19T15:19:40.351210+00:00 | Dance Monkey | Tones And I | source:securenet-history
2026-04-19T15:20:31.758888+00:00 | Dance Monkey | Tones And I | source:securenet-history
2026-04-19T15:21:14.912054+00:00 | Lose Control | Teddy Swims | source:securenet-history
2026-04-19T15:21:56.043633+00:00 | Lose Control | Teddy Swims | source:securenet-history
2026-04-19T15:22:56.877971+00:00 | Lose Control | Teddy Swims | source:securenet-history
2026-04-19T15:23:39.248400+00:00 | Bittersweet | Madison Beer | source:securenet-history
