2026-04-11T15:29:38.528885+00:00 | Save Your Tears | The Weeknd | source:amperwave-api
2026-04-11T15:30:13.344644+00:00 | Save Your Tears | The Weeknd | source:amperwave-api
2026-04-11T15:30:49.349651+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-11T15:31:28.787799+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-11T15:32:04.124439+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-11T15:32:39.980336+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-11T15:33:18.681817+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-11T15:33:54.888168+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-11T15:34:30.500983+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-11T19:05:59.868528+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-11T19:06:36.540816+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-11T19:07:28.985885+00:00 | Say So | Doja Cat | source:amperwave-api
2026-04-11T19:08:04.003190+00:00 | Say So | Doja Cat | source:amperwave-api
2026-04-11T19:09:01.990090+00:00 | Say So | Doja Cat | source:amperwave-api
2026-04-11T19:09:38.062836+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-11T19:10:12.717245+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-11T19:10:48.686078+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-11T19:11:23.578173+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-11T19:11:58.634262+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-11T19:12:37.056016+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-11T19:13:11.758532+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-11T19:14:11.683200+00:00 | Ride Wit Me (Feat. City Spud) | Nelly | source:amperwave-api
2026-04-11T19:14:48.617623+00:00 | Ride Wit Me (Feat. City Spud) | Nelly | source:amperwave-api
2026-04-11T19:15:23.485833+00:00 | Ride Wit Me (Feat. City Spud) | Nelly | source:amperwave-api
2026-04-11T19:15:58.827351+00:00 | Ride Wit Me (Feat. City Spud) | Nelly | source:amperwave-api
2026-04-11T19:16:33.687009+00:00 | Ride Wit Me (Feat. City Spud) | Nelly | source:amperwave-api
2026-04-11T19:17:08.039293+00:00 | Ride Wit Me (Feat. City Spud) | Nelly | source:amperwave-api
2026-04-11T19:17:43.458191+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-11T19:18:18.227144+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
