2026-04-12T00:58:52.903156+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-12T00:59:28.202569+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-12T14:34:59.484819+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-12T14:56:57.484970+00:00 | Teenage Dream | Katy Perry | source:amperwave-api
2026-04-12T15:00:35.129215+00:00 | Say So | Doja Cat | source:amperwave-api
2026-04-12T15:01:30.918419+00:00 | Say So | Doja Cat | source:amperwave-api
2026-04-12T15:02:05.249245+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-12T15:03:04.156584+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-12T15:03:38.040181+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-12T15:04:31.784362+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-12T15:05:09.904055+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-12T15:05:43.749016+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-12T15:06:18.286682+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T15:06:52.759127+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T15:07:26.768291+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T15:08:01.030053+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T15:08:35.161394+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T15:09:09.029136+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T15:09:44.455667+00:00 | Whatcha Say | Jason Derulo | source:amperwave-api
2026-04-12T15:10:19.133166+00:00 | Whatcha Say | Jason Derulo | source:amperwave-api
2026-04-12T15:10:53.229062+00:00 | Whatcha Say | Jason Derulo | source:amperwave-api
2026-04-12T15:11:27.258717+00:00 | Whatcha Say | Jason Derulo | source:amperwave-api
2026-04-12T15:12:01.055366+00:00 | Whatcha Say | Jason Derulo | source:amperwave-api
2026-04-12T15:12:57.265731+00:00 | Folded | Kehlani | source:amperwave-api
