2026-04-11T15:29:39.143428+00:00 | War Pigs/Lukes Wall | Black Sabbath | source:amperwave-api
2026-04-11T15:30:14.544831+00:00 | War Pigs/Lukes Wall | Black Sabbath | source:amperwave-api
2026-04-11T15:30:50.048532+00:00 | War Pigs/Lukes Wall | Black Sabbath | source:amperwave-api
2026-04-11T15:31:29.767782+00:00 | War Pigs/Lukes Wall | Black Sabbath | source:amperwave-api
2026-04-11T15:32:05.320151+00:00 | War Pigs/Lukes Wall | Black Sabbath | source:amperwave-api
2026-04-11T15:32:40.754832+00:00 | War Pigs/Lukes Wall | Black Sabbath | source:amperwave-api
2026-04-11T15:33:19.857827+00:00 | War Pigs/Lukes Wall | Black Sabbath | source:amperwave-api
2026-04-11T15:33:55.975124+00:00 | War Pigs/Lukes Wall | Black Sabbath | source:amperwave-api
2026-04-11T19:06:00.739808+00:00 | Down In A Hole | Alice In Chains | source:amperwave-api
2026-04-11T19:06:38.524384+00:00 | Down In A Hole | Alice In Chains | source:amperwave-api
2026-04-11T19:07:29.858963+00:00 | Down In A Hole | Alice In Chains | source:amperwave-api
2026-04-11T19:08:04.788880+00:00 | Drag Me | From Ashes To New | source:amperwave-api
2026-04-11T19:09:03.270025+00:00 | Drag Me | From Ashes To New | source:amperwave-api
2026-04-11T19:09:38.696011+00:00 | Drag Me | From Ashes To New | source:amperwave-api
2026-04-11T19:10:13.624948+00:00 | Drag Me | From Ashes To New | source:amperwave-api
2026-04-11T19:10:49.438636+00:00 | Girls, Girls, Girls | Motley Crue | source:amperwave-api
2026-04-11T19:11:24.379935+00:00 | Girls, Girls, Girls | Motley Crue | source:amperwave-api
2026-04-11T19:11:59.461057+00:00 | Girls, Girls, Girls | Motley Crue | source:amperwave-api
2026-04-11T19:12:37.660741+00:00 | Girls, Girls, Girls | Motley Crue | source:amperwave-api
2026-04-11T19:13:12.468071+00:00 | Girls, Girls, Girls | Motley Crue | source:amperwave-api
2026-04-11T19:14:14.104706+00:00 | Girls, Girls, Girls | Motley Crue | source:amperwave-api
2026-04-11T19:14:49.249753+00:00 | Girls, Girls, Girls | Motley Crue | source:amperwave-api
2026-04-11T19:15:24.218521+00:00 | Girls, Girls, Girls | Motley Crue | source:amperwave-api
2026-04-11T19:15:59.626925+00:00 | Girls, Girls, Girls | Motley Crue | source:amperwave-api
2026-04-11T19:16:34.293049+00:00 | Girls, Girls, Girls | Motley Crue | source:amperwave-api
2026-04-11T19:17:08.839649+00:00 | Girls, Girls, Girls | Motley Crue | source:amperwave-api
2026-04-11T19:17:44.136493+00:00 | Girls, Girls, Girls | Motley Crue | source:amperwave-api
2026-04-11T19:18:19.215760+00:00 | Girls, Girls, Girls | Motley Crue | source:amperwave-api
2026-04-11T19:18:53.934812+00:00 | Girls, Girls, Girls | Motley Crue | source:amperwave-api
