2026-04-11T15:29:38.866068+00:00 | Save Your Tears | The Weeknd | source:amperwave-api
2026-04-11T15:30:14.250585+00:00 | Save Your Tears | The Weeknd | source:amperwave-api
2026-04-11T15:30:49.727177+00:00 | Save Your Tears | The Weeknd | source:amperwave-api
2026-04-11T15:31:29.203499+00:00 | Save Your Tears | The Weeknd | source:amperwave-api
2026-04-11T15:32:04.974766+00:00 | Save Your Tears | The Weeknd | source:amperwave-api
2026-04-11T15:32:40.324856+00:00 | Save Your Tears | The Weeknd | source:amperwave-api
2026-04-11T15:33:19.384762+00:00 | Save Your Tears | The Weeknd | source:amperwave-api
2026-04-11T15:33:55.457082+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-11T15:34:30.969933+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-11T19:06:00.315096+00:00 | Say So | Doja Cat | source:amperwave-api
2026-04-11T19:06:38.075745+00:00 | Say So | Doja Cat | source:amperwave-api
2026-04-11T19:07:29.406767+00:00 | Say So | Doja Cat | source:amperwave-api
2026-04-11T19:08:04.337472+00:00 | Say So | Doja Cat | source:amperwave-api
2026-04-11T19:09:02.704124+00:00 | Say So | Doja Cat | source:amperwave-api
2026-04-11T19:09:38.406764+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-11T19:10:13.248074+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-11T19:10:49.098073+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-11T19:11:23.870905+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-11T19:11:59.029774+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-11T19:12:37.331924+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-11T19:13:12.080426+00:00 | Ride Wit Me (Feat. City Spud) | Nelly | source:amperwave-api
2026-04-11T19:14:12.063911+00:00 | Ride Wit Me (Feat. City Spud) | Nelly | source:amperwave-api
2026-04-11T19:14:48.959377+00:00 | Ride Wit Me (Feat. City Spud) | Nelly | source:amperwave-api
2026-04-11T19:15:23.919674+00:00 | Ride Wit Me (Feat. City Spud) | Nelly | source:amperwave-api
2026-04-11T19:15:59.233628+00:00 | Ride Wit Me (Feat. City Spud) | Nelly | source:amperwave-api
2026-04-11T19:16:34.009689+00:00 | Ride Wit Me (Feat. City Spud) | Nelly | source:amperwave-api
2026-04-11T19:17:08.374233+00:00 | Ride Wit Me (Feat. City Spud) | Nelly | source:amperwave-api
2026-04-11T19:17:43.821413+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-11T19:18:18.802724+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-11T19:18:53.485941+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-11T19:19:29.092248+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-11T19:20:03.779156+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-11T19:20:42.321438+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-11T19:21:17.224161+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-11T19:21:51.626227+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-11T19:22:26.073270+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-11T19:23:00.540827+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-11T19:23:59.438900+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-11T19:24:33.590517+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-11T19:25:08.300290+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-11T19:25:46.269025+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-11T19:26:45.432051+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-11T19:27:20.396598+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-11T19:27:55.238088+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-11T19:28:31.438871+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-11T19:29:06.493927+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-11T19:29:41.728036+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-11T19:30:16.993331+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-11T19:30:51.392531+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-11T19:31:26.770140+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-11T19:32:02.938183+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-11T19:32:37.962818+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-11T19:33:13.394785+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-11T19:33:47.957094+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-11T19:34:23.111986+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-11T19:34:56.862291+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-11T19:35:31.302769+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-11T19:36:06.697009+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-11T19:36:40.828864+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-11T19:37:14.921862+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-11T19:37:49.130587+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-11T19:38:23.236081+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-11T19:38:57.554202+00:00 | Kiss Me More | Doja Cat Feat. Sza | source:amperwave-api
2026-04-11T19:39:32.144792+00:00 | Kiss Me More | Doja Cat Feat. Sza | source:amperwave-api
2026-04-11T19:40:08.443580+00:00 | Kiss Me More | Doja Cat Feat. Sza | source:amperwave-api
2026-04-11T19:41:08.165848+00:00 | Kiss Me More | Doja Cat Feat. Sza | source:amperwave-api
2026-04-11T19:41:44.462962+00:00 | Kiss Me More | Doja Cat Feat. Sza | source:amperwave-api
2026-04-11T19:42:19.165823+00:00 | Kiss Me More | Doja Cat Feat. Sza | source:amperwave-api
2026-04-11T19:43:15.934947+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-11T19:43:50.216674+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-11T19:44:28.209691+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-11T19:45:02.186924+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-11T19:45:36.349671+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-11T19:46:11.510181+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-11T19:46:45.608446+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-11T19:47:43.657472+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-11T19:48:18.292610+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-11T19:48:52.161555+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-11T19:49:26.622544+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-11T19:50:00.930174+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-11T19:50:35.468593+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T19:51:10.050401+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T19:51:44.695926+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T19:52:19.524080+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T19:52:54.516516+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T19:53:29.150537+00:00 | Wow | Post Malone | source:amperwave-api
2026-04-11T19:54:05.191804+00:00 | Wow | Post Malone | source:amperwave-api
2026-04-11T19:54:39.129807+00:00 | Wow | Post Malone | source:amperwave-api
2026-04-11T19:55:31.658291+00:00 | Wow | Post Malone | source:amperwave-api
2026-04-11T19:56:07.358003+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-11T19:57:05.368792+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-11T19:57:41.446278+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-11T19:58:40.392170+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-11T19:59:14.859982+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-11T20:00:13.907930+00:00 | Good 4 U | Olivia Rodrigo | source:amperwave-api
2026-04-11T20:00:50.306912+00:00 | Good 4 U | Olivia Rodrigo | source:amperwave-api
2026-04-11T20:01:49.266081+00:00 | Good 4 U | Olivia Rodrigo | source:amperwave-api
2026-04-11T20:02:27.152247+00:00 | Good 4 U | Olivia Rodrigo | source:amperwave-api
