2026-04-12T00:58:53.319887+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-12T00:59:28.647641+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-12T14:34:59.818181+00:00 | Feel So Close | Calvin Harris | source:amperwave-api
2026-04-12T14:56:57.826307+00:00 | All Of Me | John Legend | source:amperwave-api
2026-04-12T15:00:35.491854+00:00 | Take Care (Feat. Rihanna) | Drake | source:amperwave-api
2026-04-12T15:01:31.307739+00:00 | Take Care (Feat. Rihanna) | Drake | source:amperwave-api
2026-04-12T15:02:05.548969+00:00 | Take Care (Feat. Rihanna) | Drake | source:amperwave-api
2026-04-12T15:03:04.520339+00:00 | Take Care (Feat. Rihanna) | Drake | source:amperwave-api
2026-04-12T15:03:38.383412+00:00 | Sweet Nothing (Feat. Florence Welch) | Calvin Harris | source:amperwave-api
2026-04-12T15:04:34.695092+00:00 | Sweet Nothing (Feat. Florence Welch) | Calvin Harris | source:amperwave-api
2026-04-12T15:05:10.230866+00:00 | Sweet Nothing (Feat. Florence Welch) | Calvin Harris | source:amperwave-api
2026-04-12T15:05:44.440368+00:00 | Sweet Nothing (Feat. Florence Welch) | Calvin Harris | source:amperwave-api
2026-04-12T15:06:18.806119+00:00 | Sweet Nothing (Feat. Florence Welch) | Calvin Harris | source:amperwave-api
2026-04-12T15:06:53.209113+00:00 | Stronger | Kanye West | source:amperwave-api
2026-04-12T15:07:27.208201+00:00 | Stronger | Kanye West | source:amperwave-api
2026-04-12T15:08:01.376200+00:00 | Stronger | Kanye West | source:amperwave-api
2026-04-12T15:08:35.424609+00:00 | Stronger | Kanye West | source:amperwave-api
2026-04-12T15:09:09.396998+00:00 | Stronger | Kanye West | source:amperwave-api
2026-04-12T15:09:44.993858+00:00 | Stronger | Kanye West | source:amperwave-api
2026-04-12T15:10:19.543785+00:00 | Stronger | Kanye West | source:amperwave-api
2026-04-12T15:10:53.660290+00:00 | Demons | Imagine Dragons | source:amperwave-api
2026-04-12T15:11:27.735682+00:00 | Demons | Imagine Dragons | source:amperwave-api
2026-04-12T15:12:01.411573+00:00 | Demons | Imagine Dragons | source:amperwave-api
2026-04-12T15:12:57.626152+00:00 | Demons | Imagine Dragons | source:amperwave-api
2026-04-12T15:13:31.941249+00:00 | Demons | Imagine Dragons | source:amperwave-api
2026-04-12T15:14:06.214299+00:00 | Cry Me A River | Justin Timberlake | source:amperwave-api
2026-04-12T15:14:40.594857+00:00 | Cry Me A River | Justin Timberlake | source:amperwave-api
2026-04-12T15:15:14.474711+00:00 | Cry Me A River | Justin Timberlake | source:amperwave-api
2026-04-12T15:15:49.057791+00:00 | Cry Me A River | Justin Timberlake | source:amperwave-api
2026-04-12T15:16:22.861616+00:00 | Cry Me A River | Justin Timberlake | source:amperwave-api
2026-04-12T15:17:20.330611+00:00 | Cry Me A River | Justin Timberlake | source:amperwave-api
2026-04-12T15:17:56.955201+00:00 | Cry Me A River | Justin Timberlake | source:amperwave-api
2026-04-12T15:18:51.750297+00:00 | Get Lucky | Daft Punk | source:amperwave-api
2026-04-12T15:19:26.347995+00:00 | Get Lucky | Daft Punk | source:amperwave-api
2026-04-12T15:20:19.708411+00:00 | Get Lucky | Daft Punk | source:amperwave-api
