2026-04-18T00:00:00.397965+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:00:36.106855+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:01:11.930065+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:01:48.841130+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:02:37.878188+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:03:13.714283+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:03:49.882649+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:05:00.747692+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:05:39.670363+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:06:18.684003+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:07:28.084736+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:08:04.759973+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:08:40.875137+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:09:49.010669+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:10:27.342650+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:11:04.815416+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:12:04.949134+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:12:42.983195+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:13:18.819474+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:14:20.572481+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:14:57.948549+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:15:42.092584+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:16:18.201148+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:16:54.339247+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:17:30.731273+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:18:05.529411+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:18:41.437857+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:19:16.958223+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:19:53.026773+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:20:30.394339+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:21:06.653036+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:21:42.604072+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:22:18.395046+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:22:54.587636+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:23:36.116000+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:24:11.949080+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:24:47.580254+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:25:53.206003+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:26:35.167821+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:27:12.135217+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:28:13.876416+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:28:52.800055+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:29:29.201454+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:30:32.294533+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:31:12.896000+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:31:48.761583+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:32:45.741273+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:33:23.818443+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:34:02.619855+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:35:04.102583+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:35:45.033365+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:36:20.937011+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:36:57.166892+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:37:34.737550+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:38:12.945406+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:38:49.736600+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:39:26.381412+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:40:10.586338+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:40:47.053502+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:41:23.009948+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:41:59.189252+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:42:35.553538+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:43:10.912232+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:43:47.155694+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:44:34.366727+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:45:11.010107+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:45:47.804941+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T00:47:32.283193+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
