2026-04-13T00:00:30.817051+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-13T00:01:15.196690+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-13T00:01:52.351353+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-13T00:02:27.588885+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-13T00:03:02.738414+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-13T00:03:38.597457+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-13T00:04:13.143434+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-13T00:04:48.727388+00:00 | Break Free | Ariana Grande | source:amperwave-api
2026-04-13T00:05:24.768164+00:00 | Break Free | Ariana Grande | source:amperwave-api
2026-04-13T00:06:00.387603+00:00 | Break Free | Ariana Grande | source:amperwave-api
2026-04-13T00:06:36.260910+00:00 | Break Free | Ariana Grande | source:amperwave-api
2026-04-13T00:07:11.910960+00:00 | Break Free | Ariana Grande | source:amperwave-api
2026-04-13T00:07:48.600841+00:00 | Break Free | Ariana Grande | source:amperwave-api
2026-04-13T00:08:27.876405+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-13T00:09:04.054334+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-13T00:09:40.030311+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-13T00:10:40.737208+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-13T00:11:15.466512+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-13T00:11:50.594887+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-13T00:12:25.301658+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-13T00:14:01.262274+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-13T00:14:36.069714+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-13T00:15:11.183660+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
