2026-04-14T00:04:53.420326+00:00 | Whats My Name | Rihanna Ft Drake | source:amperwave-api
2026-04-14T00:05:28.488750+00:00 | Whats My Name | Rihanna Ft Drake | source:amperwave-api
2026-04-14T00:06:17.633924+00:00 | Whats My Name | Rihanna Ft Drake | source:amperwave-api
2026-04-14T00:06:55.577057+00:00 | Whats My Name | Rihanna Ft Drake | source:amperwave-api
2026-04-14T00:07:31.106615+00:00 | Whats My Name | Rihanna Ft Drake | source:amperwave-api
2026-04-14T00:08:06.555863+00:00 | Whats My Name | Rihanna Ft Drake | source:amperwave-api
2026-04-14T00:08:42.285028+00:00 | Whats My Name | Rihanna Ft Drake | source:amperwave-api
2026-04-14T00:09:17.851936+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-14T00:10:06.589046+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-14T00:10:54.204221+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-14T00:11:30.159976+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-14T00:12:05.125111+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-14T00:12:40.336878+00:00 | Thats So True | Gracie Abrams | source:amperwave-api
2026-04-14T00:13:26.999551+00:00 | Thats So True | Gracie Abrams | source:amperwave-api
2026-04-14T00:14:02.252348+00:00 | Thats So True | Gracie Abrams | source:amperwave-api
2026-04-14T00:14:36.738574+00:00 | Thats So True | Gracie Abrams | source:amperwave-api
2026-04-14T00:15:32.786069+00:00 | Thats So True | Gracie Abrams | source:amperwave-api
2026-04-14T00:16:07.289072+00:00 | Thats So True | Gracie Abrams | source:amperwave-api
2026-04-14T00:16:42.999717+00:00 | Thats So True | Gracie Abrams | source:amperwave-api
2026-04-14T00:17:18.233540+00:00 | Thats So True | Gracie Abrams | source:amperwave-api
2026-04-14T00:18:54.771565+00:00 | Thats So True | Gracie Abrams | source:amperwave-api
2026-04-14T00:19:48.179513+00:00 | Thats So True | Gracie Abrams | source:amperwave-api
2026-04-14T00:20:27.442427+00:00 | Thats So True | Gracie Abrams | source:amperwave-api
2026-04-14T00:21:02.844772+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-14T00:21:38.577939+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-14T00:22:14.785953+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-14T00:22:50.257991+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-14T00:23:24.970571+00:00 | Sure Thing | Miguel | source:amperwave-api
2026-04-14T00:24:01.605055+00:00 | Sure Thing | Miguel | source:amperwave-api
2026-04-14T00:24:37.004081+00:00 | Sure Thing | Miguel | source:amperwave-api
2026-04-14T00:25:12.213237+00:00 | Sure Thing | Miguel | source:amperwave-api
2026-04-14T00:25:46.586188+00:00 | Sure Thing | Miguel | source:amperwave-api
2026-04-14T00:26:21.687968+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-14T00:26:56.960791+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-14T00:27:35.661966+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-14T00:28:25.509306+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-14T00:29:02.154422+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-14T00:30:01.547074+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-14T00:30:39.202943+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-14T00:31:35.769171+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-14T00:32:11.797846+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-14T00:33:09.853923+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-14T00:33:49.223101+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-14T00:34:42.567526+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-14T00:35:19.246055+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-14T00:36:17.954852+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-14T00:36:54.162647+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-14T00:37:29.045232+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-14T00:38:03.919420+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-14T00:38:38.751367+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-14T00:39:16.805241+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-14T00:39:53.752365+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-14T00:40:28.735631+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-14T00:41:03.626620+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-14T00:41:38.788586+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-14T00:42:13.974398+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-14T00:42:48.939235+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-14T00:43:27.912994+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-14T00:44:03.141371+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-14T00:44:38.115913+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-14T00:45:36.564178+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-14T00:46:12.455480+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-14T00:47:11.431298+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-14T00:47:47.513051+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-14T00:48:27.088303+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-14T00:49:02.942467+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-14T00:49:58.659811+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-14T00:50:34.493077+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-14T00:51:30.372350+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-14T00:52:06.926203+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-14T00:52:42.224268+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-14T00:53:17.471302+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-14T00:53:53.194180+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-14T00:54:28.651590+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-14T00:55:03.756991+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
