2026-04-15T00:00:15.810600+00:00 | Sorry | Justin Bieber | source:amperwave-api
2026-04-15T00:00:50.831815+00:00 | Sorry | Justin Bieber | source:amperwave-api
2026-04-15T00:01:26.373692+00:00 | Sorry | Justin Bieber | source:amperwave-api
2026-04-15T00:02:01.837958+00:00 | Sorry | Justin Bieber | source:amperwave-api
2026-04-15T00:02:37.865603+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-15T00:03:26.318691+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-15T00:04:04.015597+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-15T00:04:57.879221+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-15T00:05:34.147183+00:00 | Bartender | T-Pain Ft Akon | source:amperwave-api
2026-04-15T00:06:09.411333+00:00 | Bartender | T-Pain Ft Akon | source:amperwave-api
2026-04-15T00:07:07.702582+00:00 | Bartender | T-Pain Ft Akon | source:amperwave-api
2026-04-15T00:07:42.895422+00:00 | Bartender | T-Pain Ft Akon | source:amperwave-api
2026-04-15T00:08:43.608805+00:00 | Bartender | T-Pain Ft Akon | source:amperwave-api
2026-04-15T00:09:38.084069+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-15T00:10:13.757048+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-15T00:10:49.584586+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-15T00:11:50.359808+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-15T00:12:26.340963+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-15T00:13:01.870300+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-15T00:13:37.060611+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-15T00:14:12.500466+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-15T00:14:47.493850+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-15T00:15:22.110054+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-15T00:15:57.472026+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-15T00:16:32.745831+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-15T00:17:08.017602+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-15T00:17:43.550534+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-15T00:18:25.753553+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-15T00:19:02.543328+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-15T00:19:58.661565+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-15T00:20:35.855384+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-15T00:21:34.279337+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-15T00:22:12.962349+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-15T00:22:47.793792+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-15T00:23:47.083312+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-15T00:24:40.016536+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-15T00:25:16.076812+00:00 | Love Me Not | Ravyn Lenae | source:amperwave-api
2026-04-15T00:25:50.540101+00:00 | Love Me Not | Ravyn Lenae | source:amperwave-api
2026-04-15T00:26:48.244632+00:00 | Love Me Not | Ravyn Lenae | source:amperwave-api
2026-04-15T00:27:23.912995+00:00 | Love Me Not | Ravyn Lenae | source:amperwave-api
2026-04-15T00:27:59.433654+00:00 | Love Me Not | Ravyn Lenae | source:amperwave-api
2026-04-15T00:28:34.752173+00:00 | Love Me Not | Ravyn Lenae | source:amperwave-api
2026-04-15T00:29:09.954104+00:00 | Save Your Tears | The Weeknd | source:amperwave-api
2026-04-15T00:29:45.603500+00:00 | Save Your Tears | The Weeknd | source:amperwave-api
2026-04-15T00:30:21.496944+00:00 | Save Your Tears | The Weeknd | source:amperwave-api
2026-04-15T00:30:56.111880+00:00 | Save Your Tears | The Weeknd | source:amperwave-api
2026-04-15T00:31:32.918516+00:00 | Save Your Tears | The Weeknd | source:amperwave-api
2026-04-15T00:32:07.328325+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-15T00:32:43.666086+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-15T00:33:25.921569+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-15T00:34:01.344937+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-15T00:34:35.639831+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-15T00:35:31.943525+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-15T00:36:29.952783+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-15T00:37:08.404741+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-15T00:38:03.375506+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-15T00:38:42.915639+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-15T00:39:38.471744+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-15T00:40:16.166614+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-15T00:41:10.592416+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-15T00:41:47.099541+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-15T00:42:22.936007+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-15T00:42:58.346969+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-15T00:43:34.244714+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-15T00:44:09.303800+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-15T00:44:44.379370+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-15T00:45:19.976156+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-15T00:45:55.589318+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-15T00:46:31.335035+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-15T00:47:06.944778+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-15T00:47:42.299924+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-15T00:48:27.092727+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-15T00:49:02.630896+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-15T00:49:59.848160+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-15T00:50:37.256162+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-15T00:51:33.689933+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-15T00:52:10.271093+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-15T00:53:06.292507+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-15T00:53:41.840888+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-15T00:54:37.583099+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-15T00:55:12.912837+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-15T00:55:49.022592+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-15T00:56:48.852999+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-15T00:57:25.675480+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-15T00:58:02.359688+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-15T00:58:37.677009+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-15T00:59:13.088297+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-15T00:59:48.358023+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-15T01:00:23.374461+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-15T01:00:58.607659+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-15T01:01:34.562202+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-15T01:02:10.302832+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-15T01:02:46.986248+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-15T01:03:28.604649+00:00 | 34 35 | Ariana Grande | source:amperwave-api
2026-04-15T01:04:03.749563+00:00 | 34 35 | Ariana Grande | source:amperwave-api
2026-04-15T01:05:00.222968+00:00 | 34 35 | Ariana Grande | source:amperwave-api
2026-04-15T01:05:35.857156+00:00 | 34 35 | Ariana Grande | source:amperwave-api
2026-04-15T01:06:34.353145+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-15T01:07:13.568080+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-15T01:07:49.154247+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-15T01:08:48.493633+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-15T01:09:45.322422+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-15T01:10:21.687143+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-15T01:11:17.570468+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-15T01:11:54.381923+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-15T01:12:30.182539+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-15T01:13:05.842382+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-15T01:13:40.894500+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-15T01:14:16.032756+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-15T01:14:51.003413+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-15T01:15:26.407587+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-15T01:16:02.664548+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-15T01:16:38.970583+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-15T01:17:15.119354+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-15T01:17:50.341106+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-15T01:18:27.489372+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-15T01:19:03.195597+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-15T01:19:59.808370+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-15T01:20:37.607285+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-15T01:21:12.568221+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-15T01:21:48.255855+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-15T01:22:24.453110+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-15T01:23:20.415932+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-15T01:23:56.590943+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-15T01:24:49.326585+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-15T01:25:26.729958+00:00 | Dracula | Tame Impala Ft Jennie | source:amperwave-api
2026-04-15T01:26:23.071101+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-15T01:26:59.653826+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-15T01:27:36.133534+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-15T01:28:11.177326+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-15T01:28:47.319543+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-15T01:29:22.518027+00:00 | Luther | Kendrick Lamar Ft Sza | source:amperwave-api
2026-04-15T01:29:58.449026+00:00 | Luther | Kendrick Lamar Ft Sza | source:amperwave-api
2026-04-15T01:30:34.496272+00:00 | Luther | Kendrick Lamar Ft Sza | source:amperwave-api
2026-04-15T01:31:10.480886+00:00 | Luther | Kendrick Lamar Ft Sza | source:amperwave-api
2026-04-15T01:31:46.485597+00:00 | Luther | Kendrick Lamar Ft Sza | source:amperwave-api
2026-04-15T01:32:21.171960+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-15T01:32:56.296958+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-15T01:33:32.393081+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-15T01:34:08.130006+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-15T01:34:55.554274+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-15T01:35:30.558136+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-15T01:36:28.104676+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-15T01:37:04.924258+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-15T01:38:03.727516+00:00 | Whats My Name | Rihanna Ft Drake | source:amperwave-api
