2026-04-16T00:00:02.211552+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-16T00:00:41.632470+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-16T00:01:24.955517+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-16T00:02:08.891235+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-16T00:02:48.722943+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-16T00:03:28.624281+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-16T00:04:08.991141+00:00 | Starboy | The Weeknd | source:amperwave-api
2026-04-16T00:04:50.872436+00:00 | Starboy | The Weeknd | source:amperwave-api
2026-04-16T00:05:57.661502+00:00 | Starboy | The Weeknd | source:amperwave-api
2026-04-16T00:06:41.244271+00:00 | Starboy | The Weeknd | source:amperwave-api
2026-04-16T00:07:21.935585+00:00 | Starboy | The Weeknd | source:amperwave-api
2026-04-16T00:08:02.871898+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-16T00:08:46.462459+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-16T00:09:28.591633+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-16T00:10:09.652031+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-16T00:10:48.486455+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-16T00:11:30.378087+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-16T00:12:10.611975+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-16T00:12:49.772688+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-16T00:13:30.176260+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-16T00:14:12.686501+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-16T00:14:52.661712+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-16T00:15:33.154310+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-16T00:16:12.817973+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-16T00:16:54.102488+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-16T00:18:25.521350+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-16T00:19:14.077147+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-16T00:19:54.276405+00:00 | Die With A Smile | Lady Gaga Ft Bruno Mars | source:amperwave-api
2026-04-16T00:20:33.827768+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-16T00:21:12.381912+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-16T00:21:50.848079+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-16T00:22:30.854463+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-16T00:23:12.406681+00:00 | Problem | Ariana Grande | source:amperwave-api
2026-04-16T00:23:53.266049+00:00 | Problem | Ariana Grande | source:amperwave-api
2026-04-16T00:24:35.627437+00:00 | Problem | Ariana Grande | source:amperwave-api
2026-04-16T00:25:16.720529+00:00 | Problem | Ariana Grande | source:amperwave-api
2026-04-16T00:25:56.263604+00:00 | Problem | Ariana Grande | source:amperwave-api
2026-04-16T00:26:36.109729+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-16T00:27:19.751203+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-16T00:28:00.837462+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-16T00:28:39.593586+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-16T00:29:18.155876+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-16T00:29:59.789377+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-16T00:31:34.390267+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-16T00:32:15.517938+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-16T00:32:56.339042+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-16T00:33:36.186177+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-16T00:34:15.584090+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-16T00:35:47.191220+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-16T00:36:26.503629+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-16T00:37:05.822970+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-16T00:37:46.886399+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-16T00:38:25.735855+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-16T00:39:34.585064+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-16T00:40:15.088255+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-16T00:40:54.698832+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-16T00:41:33.558934+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-16T00:42:14.124586+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-16T00:42:54.499618+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-16T00:43:33.796096+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-16T00:44:15.154103+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-16T00:44:55.625079+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-16T00:45:34.716399+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-16T00:46:14.281972+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-16T00:46:54.520925+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-16T00:47:33.674424+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-16T00:48:15.872855+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-16T00:48:56.679574+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-16T00:49:35.540764+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-16T00:50:19.605787+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-16T00:51:00.447242+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-16T00:52:32.165046+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-16T00:53:12.876433+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-16T00:53:51.971682+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-16T00:54:32.903329+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-16T00:55:13.027539+00:00 | Ordinary | Alex Warren | source:amperwave-api
