2026-04-13T00:00:31.904382+00:00 | Here For A Good Time | George Strait | source:amperwave-api
2026-04-13T00:01:17.461629+00:00 | Here For A Good Time | George Strait | source:amperwave-api
2026-04-13T00:01:53.388584+00:00 | Here For A Good Time | George Strait | source:amperwave-api
2026-04-13T00:02:28.892827+00:00 | Here For A Good Time | George Strait | source:amperwave-api
2026-04-13T00:03:03.851728+00:00 | I Got Better | Morgan Wallen | source:amperwave-api
2026-04-13T00:03:39.639190+00:00 | I Got Better | Morgan Wallen | source:amperwave-api
2026-04-13T00:04:14.361421+00:00 | I Got Better | Morgan Wallen | source:amperwave-api
2026-04-13T00:04:49.924527+00:00 | I Got Better | Morgan Wallen | source:amperwave-api
2026-04-13T00:05:26.025675+00:00 | I Got Better | Morgan Wallen | source:amperwave-api
2026-04-13T00:06:01.990392+00:00 | I Got Better | Morgan Wallen | source:amperwave-api
2026-04-13T00:06:37.336724+00:00 | Cowboy Songs | George Birge | source:amperwave-api
2026-04-13T00:07:13.149055+00:00 | Cowboy Songs | George Birge | source:amperwave-api
2026-04-13T00:07:49.535365+00:00 | Cowboy Songs | George Birge | source:amperwave-api
2026-04-13T00:08:29.179670+00:00 | Cowboy Songs | George Birge | source:amperwave-api
2026-04-13T00:09:05.141742+00:00 | Cowboy Songs | George Birge | source:amperwave-api
2026-04-13T00:10:04.419580+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-13T00:10:41.798454+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-13T00:11:16.477624+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-13T00:11:51.619143+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-13T00:12:26.400698+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-13T00:13:26.736105+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-13T00:14:02.418024+00:00 | Something Like That | Tim Mcgraw | source:amperwave-api
2026-04-13T00:14:37.032433+00:00 | Something Like That | Tim Mcgraw | source:amperwave-api
2026-04-13T00:15:12.110011+00:00 | Something Like That | Tim Mcgraw | source:amperwave-api
2026-04-13T00:15:47.808635+00:00 | Something Like That | Tim Mcgraw | source:amperwave-api
2026-04-13T00:16:48.509011+00:00 | Aint No Love In Oklahoma | Luke Combs | source:amperwave-api
2026-04-13T00:17:28.862464+00:00 | Aint No Love In Oklahoma | Luke Combs | source:amperwave-api
2026-04-13T00:18:03.521600+00:00 | Aint No Love In Oklahoma | Luke Combs | source:amperwave-api
2026-04-13T00:18:38.572448+00:00 | Aint No Love In Oklahoma | Luke Combs | source:amperwave-api
2026-04-13T00:19:13.466121+00:00 | Aint No Love In Oklahoma | Luke Combs | source:amperwave-api
2026-04-13T00:19:48.366828+00:00 | Aint No Love In Oklahoma | Luke Combs | source:amperwave-api
2026-04-13T00:20:25.181869+00:00 | Ends Of The Earth | Ty Myers | source:amperwave-api
2026-04-13T00:21:00.724232+00:00 | Ends Of The Earth | Ty Myers | source:amperwave-api
2026-04-13T00:21:36.299176+00:00 | Ends Of The Earth | Ty Myers | source:amperwave-api
2026-04-13T00:22:11.481153+00:00 | Ends Of The Earth | Ty Myers | source:amperwave-api
2026-04-13T00:22:46.419286+00:00 | Ends Of The Earth | Ty Myers | source:amperwave-api
2026-04-13T00:23:21.305056+00:00 | Ends Of The Earth | Ty Myers | source:amperwave-api
2026-04-13T00:23:56.224768+00:00 | Ends Of The Earth | Ty Myers | source:amperwave-api
2026-04-13T00:24:31.494739+00:00 | Ends Of The Earth | Ty Myers | source:amperwave-api
2026-04-13T00:25:07.017377+00:00 | Ends Of The Earth | Ty Myers | source:amperwave-api
2026-04-13T00:26:08.459503+00:00 | Ends Of The Earth | Ty Myers | source:amperwave-api
2026-04-13T00:26:46.197263+00:00 | Ends Of The Earth | Ty Myers | source:amperwave-api
2026-04-13T00:27:22.851022+00:00 | Ends Of The Earth | Ty Myers | source:amperwave-api
2026-04-13T00:27:58.204254+00:00 | I Aint Sayin | Jordan Davis | source:amperwave-api
2026-04-13T00:28:33.434840+00:00 | I Aint Sayin | Jordan Davis | source:amperwave-api
2026-04-13T00:29:08.099783+00:00 | I Aint Sayin | Jordan Davis | source:amperwave-api
2026-04-13T00:30:10.208063+00:00 | I Aint Sayin | Jordan Davis | source:amperwave-api
2026-04-13T00:30:46.107776+00:00 | What Hell Never Have | Dylan Scott | source:amperwave-api
2026-04-13T00:31:23.015407+00:00 | What Hell Never Have | Dylan Scott | source:amperwave-api
2026-04-13T00:31:58.333326+00:00 | What Hell Never Have | Dylan Scott | source:amperwave-api
2026-04-13T00:32:58.957217+00:00 | What Hell Never Have | Dylan Scott | source:amperwave-api
2026-04-13T00:33:34.041080+00:00 | Shes Country | Jason Aldean | source:amperwave-api
2026-04-13T00:34:09.843410+00:00 | Shes Country | Jason Aldean | source:amperwave-api
2026-04-13T00:34:47.607177+00:00 | Shes Country | Jason Aldean | source:amperwave-api
