2026-04-19T14:41:09.409536+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-19T14:42:39.370198+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-19T14:43:41.075136+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T14:45:48.299842+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T14:47:57.349970+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-19T14:49:42.676037+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-19T14:51:38.898473+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-19T14:53:41.446433+00:00 | The Monster | Eminem [ ] Rihanna | source:amperwave-api
2026-04-19T14:55:42.228977+00:00 | The Monster | Eminem [ ] Rihanna | source:amperwave-api
2026-04-19T14:57:49.141023+00:00 | Adore You | Harry Styles | source:amperwave-api
2026-04-19T14:59:42.947662+00:00 | Adore You | Harry Styles | source:amperwave-api
2026-04-19T15:01:09.290966+00:00 | Agora Hills | Doja Cat | source:amperwave-api
2026-04-19T15:03:04.137641+00:00 | Agora Hills | Doja Cat | source:amperwave-api
2026-04-19T15:04:56.302682+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-19T15:06:21.647546+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-19T15:07:57.734522+00:00 | Whatcha Say | Jason Derulo | source:amperwave-api
2026-04-19T15:09:06.594415+00:00 | Whatcha Say | Jason Derulo | source:amperwave-api
2026-04-19T15:10:45.554108+00:00 | Whatcha Say | Jason Derulo | source:amperwave-api
2026-04-19T15:12:30.521012+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-19T15:13:26.624246+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-19T15:14:35.098113+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-19T15:15:15.665398+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-19T15:15:55.934264+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-19T15:16:38.051325+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-19T15:17:19.094935+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-19T15:18:00.168345+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-19T15:19:01.073780+00:00 | Dont Start Now | Dua Lipa | source:amperwave-api
2026-04-19T15:19:42.731100+00:00 | Dont Start Now | Dua Lipa | source:amperwave-api
2026-04-19T15:20:35.215031+00:00 | Dont Start Now | Dua Lipa | source:amperwave-api
2026-04-19T15:21:16.331896+00:00 | Dont Start Now | Dua Lipa | source:amperwave-api
2026-04-19T15:21:57.495520+00:00 | Swim | Bts | source:amperwave-api
2026-04-19T15:22:59.058355+00:00 | Swim | Bts | source:amperwave-api
2026-04-19T15:23:41.504801+00:00 | Swim | Bts | source:amperwave-api
2026-04-19T15:24:22.530926+00:00 | Swim | Bts | source:amperwave-api
2026-04-19T15:25:04.263614+00:00 | Swim | Bts | source:amperwave-api
2026-04-19T15:25:47.635633+00:00 | Swim | Bts | source:amperwave-api
2026-04-19T15:26:27.233192+00:00 | Swim | Bts | source:amperwave-api
