2026-04-11T15:16:06.089336+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T15:29:36.594595+00:00 | Save Your Tears | The Weeknd | source:amperwave-api
2026-04-11T15:30:11.420337+00:00 | Save Your Tears | The Weeknd | source:amperwave-api
2026-04-11T15:30:47.200896+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-11T15:31:26.309782+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-11T15:32:02.191561+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-11T15:32:37.607202+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-11T15:33:16.359445+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-11T15:33:52.677194+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-11T15:34:28.519902+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-11T19:05:58.185846+00:00 | Say So | Doja Cat | source:amperwave-api
2026-04-11T19:06:34.612276+00:00 | Say So | Doja Cat | source:amperwave-api
2026-04-11T19:07:25.560168+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-11T19:08:02.191319+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-11T19:08:37.245742+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-11T19:09:36.068038+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-11T19:10:10.768116+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-11T19:10:46.723602+00:00 | Ride Wit Me (Feat. City Spud) | Nelly | source:amperwave-api
2026-04-11T19:11:21.752174+00:00 | Ride Wit Me (Feat. City Spud) | Nelly | source:amperwave-api
2026-04-11T19:11:56.909362+00:00 | Ride Wit Me (Feat. City Spud) | Nelly | source:amperwave-api
2026-04-11T19:12:34.925346+00:00 | Ride Wit Me (Feat. City Spud) | Nelly | source:amperwave-api
2026-04-11T19:13:09.995714+00:00 | Ride Wit Me (Feat. City Spud) | Nelly | source:amperwave-api
2026-04-11T19:13:44.683904+00:00 | Ride Wit Me (Feat. City Spud) | Nelly | source:amperwave-api
2026-04-11T19:14:46.645226+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-11T19:15:21.430070+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-11T19:15:56.866808+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-11T19:16:31.685100+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-11T19:17:06.311379+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-11T19:17:41.736775+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-11T19:18:16.181458+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-11T19:18:51.213840+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-11T19:19:27.190011+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-11T19:20:01.183366+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-11T19:20:38.765323+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-11T19:21:14.908981+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-11T19:21:49.712980+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-11T19:22:23.884000+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-11T19:22:58.452297+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-11T19:23:57.113923+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-11T19:24:31.644212+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-11T19:25:06.061185+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-11T19:25:42.533917+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-11T19:26:42.435906+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-11T19:27:18.411950+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-11T19:27:53.459354+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-11T19:28:29.239083+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-11T19:29:04.527582+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-11T19:29:39.322129+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-11T19:30:14.638241+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-11T19:30:49.660277+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-11T19:31:24.303089+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-11T19:32:00.298421+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-11T19:32:35.497334+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-11T19:33:10.764823+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-11T19:33:45.416131+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-11T19:34:20.387883+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-11T19:34:55.075781+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-11T19:35:29.277673+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-11T19:36:04.252238+00:00 | Kiss Me More | Doja Cat Feat. Sza | source:amperwave-api
2026-04-11T19:36:39.060663+00:00 | Kiss Me More | Doja Cat Feat. Sza | source:amperwave-api
2026-04-11T19:37:12.981076+00:00 | Kiss Me More | Doja Cat Feat. Sza | source:amperwave-api
2026-04-11T19:37:47.098223+00:00 | Kiss Me More | Doja Cat Feat. Sza | source:amperwave-api
2026-04-11T19:38:21.414089+00:00 | Kiss Me More | Doja Cat Feat. Sza | source:amperwave-api
