2026-04-12T00:58:50.669389+00:00 | 34 And 35 | Ariana Grande | source:amperwave-api
2026-04-12T00:59:26.168292+00:00 | 34 And 35 | Ariana Grande | source:amperwave-api
2026-04-12T14:34:57.329808+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-12T14:35:32.317672+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-12T14:56:55.225528+00:00 | Teenage Dream | Katy Perry | source:amperwave-api
2026-04-12T15:00:32.519868+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-12T15:01:28.715690+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-12T15:02:03.168186+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-12T15:02:57.481888+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-12T15:03:36.085727+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-12T15:04:10.708295+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-12T15:05:07.898707+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T15:05:42.143642+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T15:06:16.715216+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T15:06:50.830830+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T15:07:25.059692+00:00 | Whatcha Say | Jason Derulo | source:amperwave-api
2026-04-12T15:07:59.306935+00:00 | Whatcha Say | Jason Derulo | source:amperwave-api
2026-04-12T15:08:33.565163+00:00 | Whatcha Say | Jason Derulo | source:amperwave-api
2026-04-12T15:09:07.379229+00:00 | Whatcha Say | Jason Derulo | source:amperwave-api
2026-04-12T15:09:42.510751+00:00 | Whatcha Say | Jason Derulo | source:amperwave-api
2026-04-12T15:10:17.054722+00:00 | Whatcha Say | Jason Derulo | source:amperwave-api
2026-04-12T15:10:51.655557+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-12T15:11:25.735503+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-12T15:11:59.511621+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-12T15:12:55.301429+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-12T15:13:29.608756+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-12T15:14:03.789281+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-12T15:14:38.005775+00:00 | Im Good | Bebe Rexha And David Guetta | source:amperwave-api
2026-04-12T15:15:12.386415+00:00 | Im Good | Bebe Rexha And David Guetta | source:amperwave-api
2026-04-12T15:15:46.496056+00:00 | Im Good | Bebe Rexha And David Guetta | source:amperwave-api
2026-04-12T15:16:20.913859+00:00 | Im Good | Bebe Rexha And David Guetta | source:amperwave-api
2026-04-12T15:16:55.402647+00:00 | Im Good | Bebe Rexha And David Guetta | source:amperwave-api
2026-04-12T15:17:54.817252+00:00 | Eastside | Benny Blanco, Halsey Khalid | source:amperwave-api
2026-04-12T15:18:45.492496+00:00 | Eastside | Benny Blanco, Halsey Khalid | source:amperwave-api
2026-04-12T15:19:23.951377+00:00 | Eastside | Benny Blanco, Halsey Khalid | source:amperwave-api
2026-04-12T15:19:58.046205+00:00 | Eastside | Benny Blanco, Halsey Khalid | source:amperwave-api
2026-04-12T15:20:55.687958+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T15:21:30.265992+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T15:22:04.478261+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T15:22:38.500176+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T15:23:12.752027+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T15:23:46.829844+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T15:24:20.623352+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T15:24:54.516055+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T15:25:29.233944+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T15:26:03.615912+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T15:26:38.716010+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-12T15:27:13.311152+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-12T15:27:48.024442+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-12T15:28:25.960540+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-12T15:29:00.233480+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-12T15:29:34.209202+00:00 | Greedy | Tate Mcrae | source:amperwave-api
2026-04-12T15:30:08.441875+00:00 | Greedy | Tate Mcrae | source:amperwave-api
2026-04-12T15:30:43.066275+00:00 | Greedy | Tate Mcrae | source:amperwave-api
