2026-04-19T00:00:34.508963+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:01:10.995642+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:01:47.096279+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:02:23.021788+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:03:00.518891+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:03:37.476230+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:04:13.983700+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:04:50.837822+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:05:27.600250+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:06:04.323852+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:06:40.472848+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:07:17.105594+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:07:54.333553+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:08:35.646714+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:09:12.500974+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:09:48.938355+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:10:40.738805+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:11:19.203732+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:11:56.136958+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:12:47.781104+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:13:25.836514+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:14:03.155950+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:14:55.240945+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:15:32.656191+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:16:09.752061+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:16:56.509655+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:17:32.828514+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:18:08.517745+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:19:02.065579+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:19:39.832957+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:20:16.539793+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:20:52.439592+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:21:29.488210+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:22:07.883924+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:22:44.170058+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:23:19.759602+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:23:55.973463+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:24:32.442699+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:25:08.730121+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:25:45.250167+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:26:22.487852+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:26:59.470915+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:27:58.345025+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:28:35.348942+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:29:41.560135+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:30:19.733403+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:30:55.767179+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:31:49.091212+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:32:26.737846+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:33:04.212876+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:33:58.611342+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:34:36.241595+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T00:35:12.638408+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
