2026-04-17T00:00:00.964094+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:00:40.451414+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:01:22.071597+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:02:01.947292+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:03:46.883866+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:04:27.369615+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:05:07.273237+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:05:48.237686+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:06:30.255451+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:07:09.176610+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:08:36.397770+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:09:15.390837+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:09:55.478693+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:10:35.448891+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:11:15.082965+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:11:56.270632+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:13:35.537883+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:14:19.401980+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:14:59.563849+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:15:40.100164+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:16:21.531419+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:17:00.876925+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:17:42.962518+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:18:23.610069+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:19:02.967660+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:19:44.218455+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:20:26.368493+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:21:06.288151+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:21:48.067325+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:22:28.683201+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:23:07.791698+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:23:46.481409+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:24:27.548923+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:25:08.519852+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:25:48.627205+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:26:29.105847+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:28:03.497916+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:28:44.423459+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:29:24.838378+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:30:07.877966+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:30:49.234399+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:31:31.184710+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:32:15.899318+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:32:56.019154+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:33:38.485593+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:34:18.033800+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:34:58.238547+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:35:38.221051+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:36:16.894832+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:36:59.057887+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:37:39.538440+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:38:20.854577+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:39:47.015401+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:40:32.012927+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:41:12.922168+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:41:51.332987+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:42:30.607954+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:44:14.456564+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:45:05.104805+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:45:50.068142+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:46:29.446478+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:47:08.351840+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:47:48.178162+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:49:23.425110+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:50:05.222856+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:50:45.856095+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:51:24.958711+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:52:04.769807+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:52:43.719342+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:53:25.561569+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:55:00.246956+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:55:39.472771+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:56:19.661344+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:56:59.592414+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:57:38.868442+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T00:59:03.102367+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
