2026-04-11T15:29:39.857984+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-11T15:30:15.219009+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T15:30:51.013789+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T15:31:30.609815+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T15:32:06.088785+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T15:32:41.553052+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T15:33:20.985777+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-11T15:33:56.810007+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-11T19:06:02.803812+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-11T19:06:39.198229+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-11T19:07:30.593055+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-11T19:08:05.443477+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-11T19:09:04.077866+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-11T19:09:39.558673+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-11T19:10:14.503240+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-11T19:10:50.416470+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-11T19:11:25.166433+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-11T19:12:00.126860+00:00 | Whatcha Say | Jason Derulo | source:amperwave-api
2026-04-11T19:12:38.434260+00:00 | Whatcha Say | Jason Derulo | source:amperwave-api
2026-04-11T19:13:13.173983+00:00 | Whatcha Say | Jason Derulo | source:amperwave-api
2026-04-11T19:14:14.928719+00:00 | Whatcha Say | Jason Derulo | source:amperwave-api
2026-04-11T19:14:49.875657+00:00 | Whatcha Say | Jason Derulo | source:amperwave-api
2026-04-11T19:15:25.065171+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-11T19:16:00.322480+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-11T19:16:34.912458+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-11T19:17:09.738384+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-11T19:17:44.842881+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-11T19:18:19.808477+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-11T19:18:55.434308+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-11T19:19:29.879855+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T19:20:06.957758+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T19:20:43.439382+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T19:21:18.172847+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T19:21:52.544544+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T19:22:27.040019+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T19:24:00.362643+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T19:24:34.688046+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T19:25:09.649589+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T19:25:47.653796+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T19:26:46.819973+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T19:27:21.304817+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T19:27:56.085751+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T19:28:32.563443+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T19:29:07.820161+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T19:29:43.002567+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T19:30:18.161535+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T19:30:52.306731+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T19:31:28.286612+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T19:32:04.273129+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T19:32:39.393382+00:00 | What It Is (Block Boy) | Doechii | source:amperwave-api
2026-04-11T19:33:14.147206+00:00 | What It Is (Block Boy) | Doechii | source:amperwave-api
2026-04-11T19:33:48.818240+00:00 | What It Is (Block Boy) | Doechii | source:amperwave-api
2026-04-11T19:34:23.835663+00:00 | What It Is (Block Boy) | Doechii | source:amperwave-api
2026-04-11T19:34:58.070979+00:00 | What It Is (Block Boy) | Doechii | source:amperwave-api
2026-04-11T19:35:32.337472+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-11T19:36:07.609054+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-11T19:36:41.808251+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-11T19:37:15.893837+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-11T19:37:49.948742+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-11T19:38:24.044901+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-11T19:38:58.564477+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-11T19:39:33.281352+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-11T19:40:09.382603+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-11T19:41:09.755031+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-11T19:41:45.794455+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-11T19:42:38.380804+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-11T19:43:16.906093+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-11T19:43:51.338262+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-11T19:44:29.339630+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-11T19:45:03.031359+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-11T19:45:37.433364+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-11T19:46:12.507656+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-11T19:46:46.614984+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-11T19:47:44.872803+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-11T19:48:19.234069+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-11T19:48:53.055037+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-11T19:49:27.727738+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-11T19:50:02.020342+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-11T19:50:36.471576+00:00 | Side To Side | Ariana Grande | source:amperwave-api
2026-04-11T19:51:11.136252+00:00 | Side To Side | Ariana Grande | source:amperwave-api
2026-04-11T19:51:45.883773+00:00 | Side To Side | Ariana Grande | source:amperwave-api
2026-04-11T19:52:21.059240+00:00 | Side To Side | Ariana Grande | source:amperwave-api
2026-04-11T19:52:55.467223+00:00 | Side To Side | Ariana Grande | source:amperwave-api
2026-04-11T19:53:30.222713+00:00 | Side To Side | Ariana Grande | source:amperwave-api
2026-04-11T19:54:06.161848+00:00 | Side To Side | Ariana Grande | source:amperwave-api
2026-04-11T19:54:40.288625+00:00 | Lovin On Me | Jack Harlow | source:amperwave-api
2026-04-11T19:55:33.070688+00:00 | Lovin On Me | Jack Harlow | source:amperwave-api
2026-04-11T19:56:08.561058+00:00 | Lovin On Me | Jack Harlow | source:amperwave-api
2026-04-11T19:57:06.679092+00:00 | Swim | Bts | source:amperwave-api
2026-04-11T19:57:42.581215+00:00 | Swim | Bts | source:amperwave-api
2026-04-11T19:58:41.507713+00:00 | Swim | Bts | source:amperwave-api
