2026-04-18T00:00:02.293474+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:00:37.622732+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:01:13.876697+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:01:51.152026+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:02:39.687170+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:03:15.330962+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:03:51.616963+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:05:05.082721+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:05:41.535961+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:06:20.463682+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:07:30.839190+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:08:06.014306+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:08:42.598963+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:09:52.557562+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:10:29.207231+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:11:06.788130+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:12:08.130439+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:12:44.585565+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:13:20.360712+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:14:23.790894+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:15:07.314523+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:15:43.878091+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:16:19.695916+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:16:56.736055+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:17:32.207529+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:18:06.997513+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:18:43.032218+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:19:18.608739+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:19:55.924790+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:20:32.524830+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:21:08.184710+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:21:44.054126+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:22:19.970039+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:22:56.046541+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:23:37.654212+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:24:13.401163+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:24:49.082800+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:26:00.917910+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:26:37.187358+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:27:13.849336+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:28:17.267805+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:28:54.935577+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:29:30.936238+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:30:37.535492+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:31:14.525604+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:31:50.239329+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:32:48.536532+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:33:27.296396+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:34:04.336402+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:35:07.541031+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-18T00:35:46.635264+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
