2026-04-12T00:58:52.242938+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-12T00:59:27.640408+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-12T14:34:58.811888+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-12T14:56:56.770598+00:00 | Vampire | Olivia Rodrigo | source:amperwave-api
2026-04-12T15:00:34.190716+00:00 | Good For You (Feat. A$Ap Rocky) | Selena Gomez | source:amperwave-api
2026-04-12T15:01:30.069359+00:00 | Good For You (Feat. A$Ap Rocky) | Selena Gomez | source:amperwave-api
2026-04-12T15:02:04.497917+00:00 | I Had Some Help | Post Malone Ft Morgan Wallen | source:amperwave-api
2026-04-12T15:03:03.426494+00:00 | I Had Some Help | Post Malone Ft Morgan Wallen | source:amperwave-api
2026-04-12T15:03:37.101167+00:00 | I Had Some Help | Post Malone Ft Morgan Wallen | source:amperwave-api
2026-04-12T15:04:11.745729+00:00 | I Had Some Help | Post Malone Ft Morgan Wallen | source:amperwave-api
2026-04-12T15:05:08.980857+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-12T15:05:43.081284+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-12T15:06:17.635906+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-12T15:06:51.977443+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-12T15:07:26.198353+00:00 | Adore You | Harry Styles | source:amperwave-api
2026-04-12T15:08:00.298933+00:00 | Adore You | Harry Styles | source:amperwave-api
2026-04-12T15:08:34.611357+00:00 | Adore You | Harry Styles | source:amperwave-api
2026-04-12T15:09:08.461969+00:00 | Adore You | Harry Styles | source:amperwave-api
2026-04-12T15:09:43.627524+00:00 | Adore You | Harry Styles | source:amperwave-api
2026-04-12T15:10:18.384050+00:00 | Adore You | Harry Styles | source:amperwave-api
2026-04-12T15:10:52.626388+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-12T15:11:26.622316+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-12T15:12:00.444251+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-12T15:12:56.637766+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-12T15:13:30.892860+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-12T15:14:04.876357+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-12T15:14:39.246791+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T15:15:13.495037+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T15:15:47.803199+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T15:16:21.872880+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T15:17:55.736491+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T15:18:50.609129+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T15:19:25.352659+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T15:19:59.072343+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T15:20:57.116303+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T15:21:31.487614+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T15:22:05.393873+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T15:22:39.932023+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T15:23:13.649059+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T15:23:47.844180+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T15:24:21.576748+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T15:24:55.803507+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T15:25:30.424949+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T15:26:04.580711+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T15:26:39.770154+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T15:27:14.338508+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-12T15:27:49.032872+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-12T15:28:27.209579+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-12T15:29:01.200037+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-12T15:29:35.213153+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-12T15:30:10.106615+00:00 | I Like You (A Happier Song) | Post Malone Ft Doja Cat | source:amperwave-api
2026-04-12T15:30:44.148322+00:00 | I Like You (A Happier Song) | Post Malone Ft Doja Cat | source:amperwave-api
2026-04-12T15:31:18.119495+00:00 | I Like You (A Happier Song) | Post Malone Ft Doja Cat | source:amperwave-api
2026-04-12T15:32:17.785155+00:00 | I Like You (A Happier Song) | Post Malone Ft Doja Cat | source:amperwave-api
2026-04-12T15:32:52.261757+00:00 | I Like You (A Happier Song) | Post Malone Ft Doja Cat | source:amperwave-api
2026-04-12T15:33:26.195997+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-12T15:34:00.217574+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-12T15:34:34.477806+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-12T15:35:08.473464+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-12T15:35:42.357323+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-12T15:36:36.461579+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-12T15:37:13.131754+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-12T15:37:46.603501+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-12T15:38:21.360931+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-12T15:38:55.300203+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-12T15:39:28.832687+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-12T15:40:02.339904+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-12T15:40:36.284114+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-12T15:41:10.064984+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-12T15:41:44.964385+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-12T15:42:19.238093+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-12T15:42:52.763363+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-12T15:43:26.626370+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-12T15:43:59.845228+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-12T15:44:55.284767+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-12T15:45:29.009500+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-12T15:46:11.410752+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-12T15:46:47.135960+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-12T15:47:21.402692+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T15:47:55.106546+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T15:48:29.660782+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T15:49:26.425388+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T15:50:00.475233+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-12T15:50:34.601937+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-12T15:51:08.718532+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-12T15:51:42.718651+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-12T15:52:16.864145+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-12T15:52:52.810411+00:00 | Bittersweet | Madison Beer | source:amperwave-api
