2026-04-16T00:00:06.169044+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T00:00:46.401506+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T00:01:31.263389+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T00:02:12.294498+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T00:02:52.025974+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T00:03:31.331831+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T00:04:13.945097+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T00:04:54.455306+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T00:06:04.538208+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T00:06:44.520535+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T00:07:25.673843+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T00:08:07.939555+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T00:08:52.751754+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T00:09:33.311744+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T00:10:13.277156+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T00:10:52.697702+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T00:11:34.799108+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T00:12:13.721326+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T00:12:53.066874+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T00:13:33.953477+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T00:14:17.534201+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T00:14:56.774955+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T00:15:36.289341+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T00:16:17.594211+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T00:16:58.770335+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T00:18:32.900011+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T00:19:18.845605+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T00:19:57.240185+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T00:20:37.627166+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T00:21:14.955065+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
