2026-04-11T15:29:37.189558+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T15:30:12.317272+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T15:30:47.921085+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T15:31:27.185779+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T15:32:03.001522+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T15:32:38.839576+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-11T15:33:17.364576+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-11T15:33:53.542814+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-11T15:34:29.326517+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-11T19:05:58.809994+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-11T19:06:35.368709+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-11T19:07:27.779518+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-11T19:08:02.829683+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-11T19:09:36.878080+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-11T19:10:11.507644+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-11T19:10:47.459976+00:00 | Whatcha Say | Jason Derulo | source:amperwave-api
2026-04-11T19:11:22.379122+00:00 | Whatcha Say | Jason Derulo | source:amperwave-api
2026-04-11T19:11:57.647957+00:00 | Whatcha Say | Jason Derulo | source:amperwave-api
2026-04-11T19:12:35.713993+00:00 | Whatcha Say | Jason Derulo | source:amperwave-api
2026-04-11T19:13:10.615448+00:00 | Whatcha Say | Jason Derulo | source:amperwave-api
2026-04-11T19:13:45.767477+00:00 | Whatcha Say | Jason Derulo | source:amperwave-api
2026-04-11T19:14:47.460309+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-11T19:15:22.241132+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-11T19:15:57.652600+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-11T19:16:32.474364+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-11T19:17:07.009767+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-11T19:17:42.504287+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-11T19:18:17.127715+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T19:18:51.870747+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T19:19:27.885974+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T19:20:02.163040+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T19:20:39.485834+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T19:21:15.837560+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T19:21:50.297785+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T19:22:24.684696+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T19:22:59.072190+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T19:23:57.991002+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T19:24:32.229711+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T19:25:06.761305+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T19:25:43.176347+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T19:26:43.814628+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T19:27:19.001862+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T19:27:54.087197+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T19:28:29.909440+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-11T19:29:05.062182+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T19:29:40.097723+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T19:30:15.495148+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T19:30:50.198130+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T19:31:25.149401+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T19:32:01.094717+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T19:32:36.269175+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T19:33:12.048074+00:00 | What It Is (Block Boy) | Doechii | source:amperwave-api
2026-04-11T19:33:46.125485+00:00 | What It Is (Block Boy) | Doechii | source:amperwave-api
2026-04-11T19:34:21.171975+00:00 | What It Is (Block Boy) | Doechii | source:amperwave-api
2026-04-11T19:34:55.630305+00:00 | What It Is (Block Boy) | Doechii | source:amperwave-api
2026-04-11T19:35:30.037625+00:00 | What It Is (Block Boy) | Doechii | source:amperwave-api
2026-04-11T19:36:05.059122+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-11T19:36:39.631457+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-11T19:37:13.683488+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-11T19:37:47.789105+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-11T19:38:22.037216+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-11T19:38:56.275125+00:00 | Swim | Bts | source:amperwave-api
2026-04-11T19:39:30.769439+00:00 | Swim | Bts | source:amperwave-api
2026-04-11T19:40:05.898537+00:00 | Swim | Bts | source:amperwave-api
2026-04-11T19:41:06.500093+00:00 | Swim | Bts | source:amperwave-api
2026-04-11T19:41:42.811273+00:00 | Swim | Bts | source:amperwave-api
2026-04-11T19:42:17.717097+00:00 | Swim | Bts | source:amperwave-api
2026-04-11T19:43:14.384628+00:00 | Swim | Bts | source:amperwave-api
2026-04-11T19:43:48.932905+00:00 | Swim | Bts | source:amperwave-api
2026-04-11T19:44:26.291066+00:00 | Swim | Bts | source:amperwave-api
2026-04-11T19:45:00.906429+00:00 | Swim | Bts | source:amperwave-api
2026-04-11T19:45:34.914657+00:00 | Swim | Bts | source:amperwave-api
2026-04-11T19:46:09.744318+00:00 | Swim | Bts | source:amperwave-api
2026-04-11T19:46:44.305397+00:00 | Swim | Bts | source:amperwave-api
2026-04-11T19:47:41.678818+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-11T19:48:16.916230+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-11T19:48:50.968346+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-11T19:49:25.199049+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-11T19:49:59.700388+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-11T19:50:34.306668+00:00 | Side To Side (Feat. Nicki Minaj) | Ariana Grande | source:amperwave-api
2026-04-11T19:51:08.366021+00:00 | Side To Side (Feat. Nicki Minaj) | Ariana Grande | source:amperwave-api
2026-04-11T19:51:43.151922+00:00 | Side To Side (Feat. Nicki Minaj) | Ariana Grande | source:amperwave-api
2026-04-11T19:52:17.907646+00:00 | Side To Side (Feat. Nicki Minaj) | Ariana Grande | source:amperwave-api
2026-04-11T19:52:53.334686+00:00 | Side To Side (Feat. Nicki Minaj) | Ariana Grande | source:amperwave-api
2026-04-11T19:53:27.676018+00:00 | Side To Side (Feat. Nicki Minaj) | Ariana Grande | source:amperwave-api
2026-04-11T19:54:03.089021+00:00 | Side To Side (Feat. Nicki Minaj) | Ariana Grande | source:amperwave-api
2026-04-11T19:54:37.827072+00:00 | Lovin On Me | Jack Harlow | source:amperwave-api
2026-04-11T19:55:28.467036+00:00 | Lovin On Me | Jack Harlow | source:amperwave-api
2026-04-11T19:56:05.449021+00:00 | Lovin On Me | Jack Harlow | source:amperwave-api
2026-04-11T19:57:03.479254+00:00 | Swim | Bts | source:amperwave-api
2026-04-11T19:57:39.513655+00:00 | Swim | Bts | source:amperwave-api
2026-04-11T19:58:38.702461+00:00 | Swim | Bts | source:amperwave-api
2026-04-11T19:59:13.474647+00:00 | Swim | Bts | source:amperwave-api
2026-04-11T19:59:47.807390+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-11T20:00:49.095508+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-11T20:01:23.268696+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-11T20:02:25.369592+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-11T20:03:23.295353+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-11T20:04:02.118421+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-11T20:04:36.507960+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-11T20:05:11.421743+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-11T20:05:46.138718+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-11T20:06:20.806217+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-11T20:06:55.262397+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-11T20:07:31.471668+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-11T20:08:06.004766+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-11T20:08:40.789978+00:00 | Ordinary | Alex Warren | source:amperwave-api
