2026-04-12T00:58:51.863689+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-12T00:59:27.011388+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-12T14:34:58.369536+00:00 | Greedy | Tate Mcrae | source:amperwave-api
2026-04-12T14:35:33.332666+00:00 | Greedy | Tate Mcrae | source:amperwave-api
2026-04-12T14:56:56.407544+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-12T15:00:33.611482+00:00 | Dilemma | Nelly / Kelly Rowland | source:amperwave-api
2026-04-12T15:01:29.629231+00:00 | Dilemma | Nelly / Kelly Rowland | source:amperwave-api
2026-04-12T15:02:03.848088+00:00 | Dilemma | Nelly / Kelly Rowland | source:amperwave-api
2026-04-12T15:03:01.370554+00:00 | I Had Some Help | Post Malone Ft Morgan Wallen | source:amperwave-api
2026-04-12T15:03:36.678764+00:00 | I Had Some Help | Post Malone Ft Morgan Wallen | source:amperwave-api
2026-04-12T15:04:11.345507+00:00 | I Had Some Help | Post Malone Ft Morgan Wallen | source:amperwave-api
2026-04-12T15:05:08.608863+00:00 | I Had Some Help | Post Malone Ft Morgan Wallen | source:amperwave-api
2026-04-12T15:05:42.786540+00:00 | I Had Some Help | Post Malone Ft Morgan Wallen | source:amperwave-api
2026-04-12T15:06:17.300429+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-12T15:06:51.697738+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-12T15:07:25.819668+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-12T15:07:59.970421+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-12T15:08:34.216152+00:00 | Adore You | Harry Styles | source:amperwave-api
2026-04-12T15:09:08.141414+00:00 | Adore You | Harry Styles | source:amperwave-api
2026-04-12T15:09:43.292415+00:00 | Adore You | Harry Styles | source:amperwave-api
2026-04-12T15:10:17.957891+00:00 | Adore You | Harry Styles | source:amperwave-api
2026-04-12T15:10:52.343827+00:00 | Adore You | Harry Styles | source:amperwave-api
2026-04-12T15:11:26.266414+00:00 | Adore You | Harry Styles | source:amperwave-api
2026-04-12T15:12:00.146722+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-12T15:12:56.283467+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-12T15:13:30.457072+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-12T15:14:04.550413+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-12T15:14:38.757975+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-12T15:15:13.019799+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-12T15:15:47.428522+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T15:16:21.589225+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T15:16:56.518605+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T15:17:55.340661+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T15:18:49.957990+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T15:19:24.500020+00:00 | We Found Love (Feat. Calvin Harris) | Rihanna | source:amperwave-api
2026-04-12T15:19:58.613796+00:00 | We Found Love (Feat. Calvin Harris) | Rihanna | source:amperwave-api
2026-04-12T15:20:56.778166+00:00 | We Found Love (Feat. Calvin Harris) | Rihanna | source:amperwave-api
2026-04-12T15:21:31.204822+00:00 | We Found Love (Feat. Calvin Harris) | Rihanna | source:amperwave-api
2026-04-12T15:22:05.072070+00:00 | We Found Love (Feat. Calvin Harris) | Rihanna | source:amperwave-api
2026-04-12T15:22:39.596429+00:00 | We Found Love (Feat. Calvin Harris) | Rihanna | source:amperwave-api
2026-04-12T15:23:13.282921+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T15:23:47.540445+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T15:24:21.238444+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T15:24:55.316300+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T15:25:30.123872+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T15:26:04.317404+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T15:26:39.403743+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T15:27:13.969799+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T15:27:48.655984+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T15:28:26.806288+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T15:29:00.804589+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T15:29:34.835310+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T15:30:09.594503+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T15:30:43.863487+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T15:31:17.772263+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T15:32:17.440679+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T15:32:51.774341+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-12T15:33:25.784674+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-12T15:33:59.927414+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-12T15:34:33.682691+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-12T15:35:08.091946+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-12T15:35:42.035723+00:00 | I Like You (A Happier Song) | Post Malone Ft Doja Cat | source:amperwave-api
2026-04-12T15:36:35.931337+00:00 | I Like You (A Happier Song) | Post Malone Ft Doja Cat | source:amperwave-api
2026-04-12T15:37:12.534613+00:00 | I Like You (A Happier Song) | Post Malone Ft Doja Cat | source:amperwave-api
2026-04-12T15:37:46.263322+00:00 | I Like You (A Happier Song) | Post Malone Ft Doja Cat | source:amperwave-api
2026-04-12T15:38:20.947188+00:00 | I Like You (A Happier Song) | Post Malone Ft Doja Cat | source:amperwave-api
2026-04-12T15:38:54.982553+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-12T15:39:28.465213+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-12T15:40:01.942134+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-12T15:40:35.859325+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-12T15:41:09.699605+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-12T15:41:44.676201+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-12T15:42:18.899871+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-12T15:42:52.466161+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-12T15:43:26.340248+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-12T15:43:59.547575+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-12T15:44:54.960574+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-12T15:45:28.654172+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-12T15:46:10.977761+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-12T15:46:46.688851+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T15:47:21.110304+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T15:47:54.753672+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T15:48:29.379128+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T15:49:26.111435+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-12T15:50:00.217061+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-12T15:50:34.258746+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-12T15:51:08.272999+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-12T15:51:42.414545+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-12T15:52:16.512652+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-12T15:52:52.466231+00:00 | Bittersweet | Madison Beer | source:amperwave-api
