2026-04-13T17:05:43.621643+00:00 | Houdini | Eminem | source:amperwave-api
2026-04-13T17:06:19.951379+00:00 | Houdini | Eminem | source:amperwave-api
2026-04-13T17:06:56.045050+00:00 | Houdini | Eminem | source:amperwave-api
2026-04-13T17:07:38.526882+00:00 | Houdini | Eminem | source:amperwave-api
2026-04-13T17:08:14.346897+00:00 | Houdini | Eminem | source:amperwave-api
2026-04-13T17:08:51.889538+00:00 | Starships | Nicki Minaj | source:amperwave-api
2026-04-13T17:09:28.247858+00:00 | Starships | Nicki Minaj | source:amperwave-api
2026-04-13T17:10:04.895617+00:00 | Starships | Nicki Minaj | source:amperwave-api
2026-04-13T17:10:42.643304+00:00 | Starships | Nicki Minaj | source:amperwave-api
2026-04-13T17:11:18.447188+00:00 | Starships | Nicki Minaj | source:amperwave-api
2026-04-13T17:11:54.942813+00:00 | Starships | Nicki Minaj | source:amperwave-api
2026-04-13T17:12:30.437062+00:00 | Thats So True | Gracie Abrams | source:amperwave-api
2026-04-13T17:13:06.237578+00:00 | Thats So True | Gracie Abrams | source:amperwave-api
2026-04-13T17:13:41.992394+00:00 | Thats So True | Gracie Abrams | source:amperwave-api
2026-04-13T17:14:17.544988+00:00 | Thats So True | Gracie Abrams | source:amperwave-api
2026-04-13T17:14:53.037938+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-13T17:15:36.033062+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-13T17:16:11.399647+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-13T17:16:47.579137+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-13T17:17:25.697786+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-13T17:18:00.786050+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-13T17:18:55.401012+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-13T17:19:32.592486+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-13T17:20:09.700071+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-13T17:20:55.836303+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-13T17:21:30.760844+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-13T17:22:05.811571+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-13T17:22:42.646919+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-13T17:23:20.230066+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-13T17:24:21.124995+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-13T17:24:57.002186+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-13T17:25:32.243682+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-13T17:26:07.244989+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-13T17:26:42.510112+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-13T17:27:17.631179+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-13T17:27:54.273911+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-13T17:28:30.401906+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-13T17:29:05.728940+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-13T17:29:40.638890+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-13T17:30:15.260730+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-13T17:30:50.167868+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-13T17:31:25.192743+00:00 | First Class | Jack Harlow | source:amperwave-api
2026-04-13T17:32:26.002677+00:00 | First Class | Jack Harlow | source:amperwave-api
2026-04-13T17:33:02.598310+00:00 | First Class | Jack Harlow | source:amperwave-api
2026-04-13T17:33:37.615315+00:00 | First Class | Jack Harlow | source:amperwave-api
2026-04-13T17:34:24.553765+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-13T17:35:00.183937+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-13T17:35:37.085956+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-13T17:36:14.904294+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-13T17:36:49.640183+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-13T17:37:24.523520+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-13T17:38:05.782240+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-13T17:38:40.411937+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-13T17:39:15.085664+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-13T17:39:50.759133+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-13T17:40:25.560641+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-13T17:41:29.261894+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-13T17:42:04.601217+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-13T17:42:40.317037+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-13T17:43:15.077220+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-13T17:43:51.097292+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-13T17:44:27.696898+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-13T17:45:02.966448+00:00 | Back That Thang Up | Juvenile | source:amperwave-api
2026-04-13T17:45:39.086753+00:00 | Back That Thang Up | Juvenile | source:amperwave-api
2026-04-13T17:46:14.136529+00:00 | Back That Thang Up | Juvenile | source:amperwave-api
2026-04-13T17:46:49.125715+00:00 | Back That Thang Up | Juvenile | source:amperwave-api
2026-04-13T17:47:24.159634+00:00 | Back That Thang Up | Juvenile | source:amperwave-api
2026-04-13T17:48:00.039910+00:00 | Back That Thang Up | Juvenile | source:amperwave-api
2026-04-13T17:48:35.979568+00:00 | Back That Thang Up | Juvenile | source:amperwave-api
2026-04-13T17:49:30.603515+00:00 | Back That Thang Up | Juvenile | source:amperwave-api
2026-04-13T17:50:07.285044+00:00 | Back That Thang Up | Juvenile | source:amperwave-api
2026-04-13T17:50:44.240939+00:00 | Flowers | Miley Cyrus | source:amperwave-api
2026-04-13T17:51:19.854025+00:00 | Flowers | Miley Cyrus | source:amperwave-api
2026-04-13T17:51:55.435210+00:00 | Flowers | Miley Cyrus | source:amperwave-api
2026-04-13T17:52:57.275747+00:00 | Flowers | Miley Cyrus | source:amperwave-api
2026-04-13T17:53:32.714818+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-13T17:54:07.377075+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-13T17:54:44.538706+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-13T17:55:20.034457+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-13T17:55:55.828170+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-13T17:56:33.445507+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-13T17:57:08.598271+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-13T17:58:04.329700+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-13T17:58:39.773782+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-13T17:59:14.462025+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-13T17:59:49.612994+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-13T18:00:25.125952+00:00 | Saturn | Sza | source:amperwave-api
2026-04-13T18:01:01.852921+00:00 | Saturn | Sza | source:amperwave-api
2026-04-13T18:01:38.164901+00:00 | Saturn | Sza | source:amperwave-api
2026-04-13T18:02:14.543144+00:00 | Saturn | Sza | source:amperwave-api
2026-04-13T18:02:50.561192+00:00 | Saturn | Sza | source:amperwave-api
2026-04-13T18:03:25.316872+00:00 | Tit For Tat | Tate Mcrae | source:amperwave-api
2026-04-13T18:04:00.365185+00:00 | Tit For Tat | Tate Mcrae | source:amperwave-api
2026-04-13T18:04:36.150892+00:00 | Tit For Tat | Tate Mcrae | source:amperwave-api
2026-04-13T18:05:33.465348+00:00 | Tit For Tat | Tate Mcrae | source:amperwave-api
2026-04-13T18:06:09.678850+00:00 | Hot To Go! | Chappell Roan | source:amperwave-api
