2026-04-14T00:04:56.087077+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-14T00:05:31.385022+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-14T00:06:22.289184+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-14T00:06:58.303176+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-14T00:07:33.843137+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-14T00:08:09.488236+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-14T00:08:44.999683+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-14T00:09:26.856159+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-14T00:10:20.477919+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-14T00:10:57.043543+00:00 | Tit For Tat | Tate Mcrae | source:amperwave-api
2026-04-14T00:11:32.730140+00:00 | Tit For Tat | Tate Mcrae | source:amperwave-api
2026-04-14T00:12:07.796254+00:00 | Tit For Tat | Tate Mcrae | source:amperwave-api
2026-04-14T00:12:42.879301+00:00 | Tit For Tat | Tate Mcrae | source:amperwave-api
2026-04-14T00:13:30.176696+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-14T00:14:04.564305+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-14T00:14:58.161323+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-14T00:15:35.254893+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-14T00:16:10.100343+00:00 | Buy U A Drank | T-Pain Feat. Yung Joc | source:amperwave-api
2026-04-14T00:16:45.888746+00:00 | Buy U A Drank | T-Pain Feat. Yung Joc | source:amperwave-api
2026-04-14T00:17:21.419801+00:00 | Buy U A Drank | T-Pain Feat. Yung Joc | source:amperwave-api
2026-04-14T00:18:22.715534+00:00 | Buy U A Drank | T-Pain Feat. Yung Joc | source:amperwave-api
2026-04-14T00:18:57.258005+00:00 | Buy U A Drank | T-Pain Feat. Yung Joc | source:amperwave-api
2026-04-14T00:19:54.851710+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-14T00:20:30.376852+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-14T00:21:05.901009+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-14T00:21:41.643716+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-14T00:22:17.577593+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-14T00:22:53.174762+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-14T00:23:27.889675+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-14T00:24:04.933607+00:00 | Thats So True | Gracie Abrams | source:amperwave-api
2026-04-14T00:24:39.485191+00:00 | Thats So True | Gracie Abrams | source:amperwave-api
2026-04-14T00:25:14.584965+00:00 | Thats So True | Gracie Abrams | source:amperwave-api
2026-04-14T00:25:49.148341+00:00 | Thats So True | Gracie Abrams | source:amperwave-api
2026-04-14T00:26:24.293062+00:00 | Thats So True | Gracie Abrams | source:amperwave-api
2026-04-14T00:27:00.016821+00:00 | End Of Beginning | Djo | source:amperwave-api
2026-04-14T00:27:38.557659+00:00 | End Of Beginning | Djo | source:amperwave-api
2026-04-14T00:28:28.869237+00:00 | End Of Beginning | Djo | source:amperwave-api
2026-04-14T00:29:05.084111+00:00 | End Of Beginning | Djo | source:amperwave-api
2026-04-14T00:30:05.953894+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-14T00:30:42.538429+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-14T00:31:39.052757+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-14T00:32:14.221054+00:00 | It Depends | Chris Brown X Bryson Tiller | source:amperwave-api
2026-04-14T00:33:17.195444+00:00 | It Depends | Chris Brown X Bryson Tiller | source:amperwave-api
2026-04-14T00:33:51.752175+00:00 | It Depends | Chris Brown X Bryson Tiller | source:amperwave-api
2026-04-14T00:34:46.856260+00:00 | It Depends | Chris Brown X Bryson Tiller | source:amperwave-api
2026-04-14T00:35:21.752949+00:00 | It Depends | Chris Brown X Bryson Tiller | source:amperwave-api
2026-04-14T00:36:21.647568+00:00 | It Depends | Chris Brown X Bryson Tiller | source:amperwave-api
2026-04-14T00:36:56.665232+00:00 | Swim | Bts | source:amperwave-api
2026-04-14T00:37:31.592368+00:00 | Swim | Bts | source:amperwave-api
2026-04-14T00:38:06.429393+00:00 | Swim | Bts | source:amperwave-api
2026-04-14T00:38:43.365527+00:00 | Swim | Bts | source:amperwave-api
2026-04-14T00:39:20.620171+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-14T00:39:56.324946+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-14T00:40:31.120175+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-14T00:41:06.255878+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-14T00:41:41.746598+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-14T00:42:16.415584+00:00 | Manchild | Sabrina Carpenter | source:amperwave-api
2026-04-14T00:42:51.508944+00:00 | Manchild | Sabrina Carpenter | source:amperwave-api
2026-04-14T00:43:30.842614+00:00 | Manchild | Sabrina Carpenter | source:amperwave-api
2026-04-14T00:44:05.860471+00:00 | Manchild | Sabrina Carpenter | source:amperwave-api
2026-04-14T00:45:03.522300+00:00 | Manchild | Sabrina Carpenter | source:amperwave-api
2026-04-14T00:45:39.277526+00:00 | Manchild | Sabrina Carpenter | source:amperwave-api
2026-04-14T00:46:37.848801+00:00 | Manchild | Sabrina Carpenter | source:amperwave-api
2026-04-14T00:47:14.463107+00:00 | Manchild | Sabrina Carpenter | source:amperwave-api
2026-04-14T00:47:50.155755+00:00 | Manchild | Sabrina Carpenter | source:amperwave-api
2026-04-14T00:48:29.802317+00:00 | Ordinary | Alex Warren | source:amperwave-api
