2026-04-16T00:00:07.219527+00:00 | I Had Some Help | Post Malone X Morgan Wallen | source:amperwave-api
2026-04-16T00:00:49.653537+00:00 | I Had Some Help | Post Malone X Morgan Wallen | source:amperwave-api
2026-04-16T00:01:32.917691+00:00 | I Had Some Help | Post Malone X Morgan Wallen | source:amperwave-api
2026-04-16T00:02:13.482504+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-16T00:02:53.724850+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-16T00:03:32.633642+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-16T00:04:15.693310+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-16T00:04:56.021557+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-16T00:06:06.310379+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-16T00:06:46.281686+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-16T00:07:28.170123+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-16T00:08:09.792493+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-16T00:08:54.905456+00:00 | As It Was | Harry Styles | source:amperwave-api
2026-04-16T00:09:34.485319+00:00 | As It Was | Harry Styles | source:amperwave-api
2026-04-16T00:10:14.563783+00:00 | As It Was | Harry Styles | source:amperwave-api
2026-04-16T00:10:54.579465+00:00 | As It Was | Harry Styles | source:amperwave-api
2026-04-16T00:11:36.631040+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-16T00:12:15.995986+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-16T00:12:55.142814+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-16T00:13:35.655740+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-16T00:14:19.352836+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-16T00:14:59.218694+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-16T00:15:37.628871+00:00 | I Know You Want Me (Calle Ocho) | Pitbull | source:amperwave-api
2026-04-16T00:16:19.330711+00:00 | I Know You Want Me (Calle Ocho) | Pitbull | source:amperwave-api
2026-04-16T00:17:00.270860+00:00 | I Know You Want Me (Calle Ocho) | Pitbull | source:amperwave-api
2026-04-16T00:18:35.680749+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-16T00:19:20.481991+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-16T00:19:58.815918+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-16T00:20:38.987447+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-16T00:21:16.298152+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-16T00:21:56.217112+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-16T00:22:36.521567+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-16T00:23:17.858187+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-16T00:24:00.574371+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-16T00:24:42.676435+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-16T00:25:21.265140+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-16T00:26:01.968338+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-16T00:26:44.916326+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-16T00:27:26.860400+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-16T00:28:05.943910+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-16T00:28:44.065819+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-16T00:29:24.795518+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-16T00:30:59.776374+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-16T00:31:40.148888+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-16T00:32:21.505328+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-16T00:33:01.881638+00:00 | Mutt | Leon Thomas (Feat. Chris Brown) | source:amperwave-api
2026-04-16T00:33:41.656765+00:00 | Mutt | Leon Thomas (Feat. Chris Brown) | source:amperwave-api
2026-04-16T00:35:12.147926+00:00 | Mutt | Leon Thomas (Feat. Chris Brown) | source:amperwave-api
2026-04-16T00:35:52.569069+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-16T00:36:31.286568+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-16T00:37:12.202502+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-16T00:37:51.318317+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-16T00:38:31.376401+00:00 | Heat Waves | Glass Animals | source:amperwave-api
2026-04-16T00:39:39.673569+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-16T00:40:20.538294+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-16T00:41:00.097073+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-16T00:41:39.528041+00:00 | Luther | Kendrick Lamar X Sza | source:amperwave-api
2026-04-16T00:42:20.772910+00:00 | Luther | Kendrick Lamar X Sza | source:amperwave-api
2026-04-16T00:42:58.852371+00:00 | Luther | Kendrick Lamar X Sza | source:amperwave-api
2026-04-16T00:43:41.267724+00:00 | Luther | Kendrick Lamar X Sza | source:amperwave-api
2026-04-16T00:44:21.457212+00:00 | Luther | Kendrick Lamar X Sza | source:amperwave-api
2026-04-16T00:45:00.670085+00:00 | Luther | Kendrick Lamar X Sza | source:amperwave-api
2026-04-16T00:45:40.157057+00:00 | Luther | Kendrick Lamar X Sza | source:amperwave-api
2026-04-16T00:46:20.160630+00:00 | Luther | Kendrick Lamar X Sza | source:amperwave-api
2026-04-16T00:46:59.706596+00:00 | Luther | Kendrick Lamar X Sza | source:amperwave-api
2026-04-16T00:47:40.361898+00:00 | Luther | Kendrick Lamar X Sza | source:amperwave-api
2026-04-16T00:48:22.510213+00:00 | Luther | Kendrick Lamar X Sza | source:amperwave-api
2026-04-16T00:49:00.646257+00:00 | Love Me Not | Ravyn Lenae | source:amperwave-api
2026-04-16T00:49:44.085243+00:00 | Love Me Not | Ravyn Lenae | source:amperwave-api
2026-04-16T00:50:25.464150+00:00 | Love Me Not | Ravyn Lenae | source:amperwave-api
2026-04-16T00:51:57.724030+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-16T00:52:37.490968+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-16T00:53:17.896878+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-16T00:53:57.759581+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-16T00:54:38.520696+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-16T00:55:20.064455+00:00 | Stressed Out | Twenty One Pilots | source:amperwave-api
2026-04-16T00:55:59.220122+00:00 | Stressed Out | Twenty One Pilots | source:amperwave-api
2026-04-16T00:56:40.588154+00:00 | Stressed Out | Twenty One Pilots | source:amperwave-api
2026-04-16T00:57:22.062904+00:00 | Stressed Out | Twenty One Pilots | source:amperwave-api
2026-04-16T00:58:04.097051+00:00 | Stressed Out | Twenty One Pilots | source:amperwave-api
2026-04-16T00:58:44.805932+00:00 | Bed Chem | Sabrina Carpenter | source:amperwave-api
2026-04-16T00:59:24.886391+00:00 | Bed Chem | Sabrina Carpenter | source:amperwave-api
2026-04-16T01:00:05.746604+00:00 | Bed Chem | Sabrina Carpenter | source:amperwave-api
2026-04-16T01:00:45.742569+00:00 | Bed Chem | Sabrina Carpenter | source:amperwave-api
2026-04-16T01:01:29.592365+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-16T01:02:12.649004+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-16T01:02:54.489511+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-16T01:04:16.453198+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-16T01:04:56.576604+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-16T01:05:36.353595+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-16T01:06:14.664881+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-16T01:06:55.695800+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-16T01:07:37.718374+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-16T01:08:19.443456+00:00 | Camera | Ed Sheeran | source:amperwave-api
2026-04-16T01:09:03.190445+00:00 | Camera | Ed Sheeran | source:amperwave-api
2026-04-16T01:09:45.454771+00:00 | Camera | Ed Sheeran | source:amperwave-api
2026-04-16T01:10:28.218540+00:00 | Camera | Ed Sheeran | source:amperwave-api
2026-04-16T01:11:09.000666+00:00 | Camera | Ed Sheeran | source:amperwave-api
2026-04-16T01:11:48.928310+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-16T01:12:30.815076+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-16T01:13:11.265416+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-16T01:13:51.694931+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-16T01:14:30.538951+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-16T01:15:10.034049+00:00 | Go | Blackpink | source:amperwave-api
2026-04-16T01:16:22.985932+00:00 | Go | Blackpink | source:amperwave-api
2026-04-16T01:17:04.044997+00:00 | Go | Blackpink | source:amperwave-api
2026-04-16T01:17:42.237068+00:00 | Go | Blackpink | source:amperwave-api
2026-04-16T01:18:22.077857+00:00 | Heartless | The Weeknd | source:amperwave-api
2026-04-16T01:19:02.027061+00:00 | Heartless | The Weeknd | source:amperwave-api
2026-04-16T01:19:39.666597+00:00 | Heartless | The Weeknd | source:amperwave-api
2026-04-16T01:20:19.809411+00:00 | Heartless | The Weeknd | source:amperwave-api
2026-04-16T01:21:00.824580+00:00 | Million Dollar Baby | Tommy Richman | source:amperwave-api
2026-04-16T01:21:41.526092+00:00 | Million Dollar Baby | Tommy Richman | source:amperwave-api
2026-04-16T01:22:22.539716+00:00 | Million Dollar Baby | Tommy Richman | source:amperwave-api
2026-04-16T01:23:02.549403+00:00 | Million Dollar Baby | Tommy Richman | source:amperwave-api
2026-04-16T01:23:38.794481+00:00 | Million Dollar Baby | Tommy Richman | source:amperwave-api
2026-04-16T01:24:14.390712+00:00 | Million Dollar Baby | Tommy Richman | source:amperwave-api
2026-04-16T01:24:50.981601+00:00 | Million Dollar Baby | Tommy Richman | source:amperwave-api
2026-04-16T01:26:19.567917+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-16T01:27:00.607627+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-16T01:27:40.763140+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-16T01:28:18.479639+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-16T01:28:57.965328+00:00 | End Of Beginning | Djo | source:amperwave-api
2026-04-16T01:29:38.921791+00:00 | End Of Beginning | Djo | source:amperwave-api
2026-04-16T01:30:54.931605+00:00 | End Of Beginning | Djo | source:amperwave-api
2026-04-16T01:31:35.351200+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-16T01:32:15.097063+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-16T01:32:55.369233+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-16T01:33:36.386363+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-16T01:34:15.428895+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-16T01:35:23.254949+00:00 | Hot To Go! | Chappell Roan | source:amperwave-api
2026-04-16T01:36:02.243221+00:00 | Hot To Go! | Chappell Roan | source:amperwave-api
2026-04-16T01:36:41.681816+00:00 | Hot To Go! | Chappell Roan | source:amperwave-api
2026-04-16T01:37:22.442594+00:00 | Hot To Go! | Chappell Roan | source:amperwave-api
2026-04-16T01:38:02.678599+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-16T01:38:42.053359+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-16T01:39:21.386166+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-16T01:39:58.489590+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-16T01:40:37.738199+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-16T01:41:16.673479+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-16T01:41:56.965762+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-16T01:42:34.575495+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-16T01:43:13.375205+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
