2026-04-17T00:00:04.195055+00:00 | Good Luck, Babe! | Chappell Roan | source:amperwave-api
2026-04-17T00:00:43.894022+00:00 | Good Luck, Babe! | Chappell Roan | source:amperwave-api
2026-04-17T00:01:25.670547+00:00 | Good Luck, Babe! | Chappell Roan | source:amperwave-api
2026-04-17T00:02:05.949984+00:00 | Good Luck, Babe! | Chappell Roan | source:amperwave-api
2026-04-17T00:03:51.807981+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-17T00:04:31.459917+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-17T00:05:10.739175+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-17T00:05:52.757342+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-17T00:06:33.801119+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T00:07:12.761957+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T00:08:39.771390+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T00:09:19.007270+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-17T00:09:59.189131+00:00 | I Like You (A Happier Song) | Post Malone / Doja Cat | source:amperwave-api
2026-04-17T00:10:38.190200+00:00 | I Like You (A Happier Song) | Post Malone / Doja Cat | source:amperwave-api
2026-04-17T00:11:19.754926+00:00 | I Like You (A Happier Song) | Post Malone / Doja Cat | source:amperwave-api
2026-04-17T00:11:59.652854+00:00 | I Like You (A Happier Song) | Post Malone / Doja Cat | source:amperwave-api
2026-04-17T00:13:40.660223+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T00:14:24.125111+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T00:15:02.854154+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T00:15:43.694346+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T00:16:24.594256+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-17T00:17:05.137731+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-17T00:17:46.876055+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-17T00:18:27.710434+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-17T00:19:07.017997+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-17T00:19:49.777360+00:00 | Blinding Lights | The Weeknd | source:amperwave-api
2026-04-17T00:20:30.117832+00:00 | Blinding Lights | The Weeknd | source:amperwave-api
2026-04-17T00:21:11.430198+00:00 | Blinding Lights | The Weeknd | source:amperwave-api
2026-04-17T00:21:52.102526+00:00 | Blinding Lights | The Weeknd | source:amperwave-api
2026-04-17T00:22:32.502710+00:00 | Mood | 24Kgoldn | source:amperwave-api
2026-04-17T00:23:10.858761+00:00 | Mood | 24Kgoldn | source:amperwave-api
2026-04-17T00:23:49.205350+00:00 | Mood | 24Kgoldn | source:amperwave-api
2026-04-17T00:24:31.551708+00:00 | Mood | 24Kgoldn | source:amperwave-api
2026-04-17T00:25:12.593727+00:00 | Mood | 24Kgoldn | source:amperwave-api
2026-04-17T00:25:52.185515+00:00 | Mood | 24Kgoldn | source:amperwave-api
2026-04-17T00:26:33.603550+00:00 | Mood | 24Kgoldn | source:amperwave-api
2026-04-17T00:28:07.742015+00:00 | Thats So True | Gracie Abrams | source:amperwave-api
2026-04-17T00:28:48.349223+00:00 | Thats So True | Gracie Abrams | source:amperwave-api
2026-04-17T00:29:28.002252+00:00 | Thats So True | Gracie Abrams | source:amperwave-api
2026-04-17T00:30:13.392310+00:00 | Thats So True | Gracie Abrams | source:amperwave-api
2026-04-17T00:30:55.099071+00:00 | What I Want | Morgan Wallen X Tate Mcrae | source:amperwave-api
2026-04-17T00:31:37.741312+00:00 | What I Want | Morgan Wallen X Tate Mcrae | source:amperwave-api
2026-04-17T00:32:18.694037+00:00 | What I Want | Morgan Wallen X Tate Mcrae | source:amperwave-api
2026-04-17T00:33:01.114049+00:00 | What I Want | Morgan Wallen X Tate Mcrae | source:amperwave-api
2026-04-17T00:33:42.657296+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-17T00:34:21.794329+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-17T00:35:02.196542+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-17T00:35:41.658732+00:00 | Lovin On Me | Jack Harlow | source:amperwave-api
2026-04-17T00:36:23.225871+00:00 | Lovin On Me | Jack Harlow | source:amperwave-api
2026-04-17T00:37:02.117425+00:00 | Lovin On Me | Jack Harlow | source:amperwave-api
2026-04-17T00:37:43.292830+00:00 | Lovin On Me | Jack Harlow | source:amperwave-api
2026-04-17T00:38:24.397397+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-17T00:39:53.276236+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-17T00:40:36.337648+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-17T00:41:16.335317+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-17T00:41:55.313945+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-17T00:42:34.804317+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-17T00:44:29.326115+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-17T00:45:12.716217+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-17T00:45:53.675033+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-17T00:46:32.784887+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-17T00:47:12.323681+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-17T00:47:53.091796+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-17T00:49:29.165320+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-17T00:50:09.073871+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-17T00:50:49.986303+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-17T00:51:28.830559+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-17T00:52:08.533383+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-17T00:52:49.028902+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-17T00:54:23.220965+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-17T00:55:04.044278+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-17T00:55:43.072782+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-17T00:56:23.428249+00:00 | Damn I Love Miami | Pitbull Feat. Lil Jon | source:amperwave-api
2026-04-17T00:57:02.579161+00:00 | Damn I Love Miami | Pitbull Feat. Lil Jon | source:amperwave-api
2026-04-17T00:57:43.638830+00:00 | Damn I Love Miami | Pitbull Feat. Lil Jon | source:amperwave-api
2026-04-17T00:59:08.459515+00:00 | Super Bass | Nicki Minaj | source:amperwave-api
2026-04-17T00:59:49.294079+00:00 | Super Bass | Nicki Minaj | source:amperwave-api
2026-04-17T01:00:30.201603+00:00 | Super Bass | Nicki Minaj | source:amperwave-api
2026-04-17T01:01:09.356925+00:00 | Super Bass | Nicki Minaj | source:amperwave-api
2026-04-17T01:01:50.366932+00:00 | Super Bass | Nicki Minaj | source:amperwave-api
2026-04-17T01:02:34.132389+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-17T01:03:12.426575+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-17T01:03:54.088674+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-17T01:04:33.237249+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-17T01:05:14.472941+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-17T01:05:59.654357+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-17T01:06:38.633534+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-17T01:07:18.007006+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-17T01:07:58.199339+00:00 | Kill Bill | Sza | source:amperwave-api
2026-04-17T01:08:39.856586+00:00 | Kill Bill | Sza | source:amperwave-api
2026-04-17T01:09:19.909718+00:00 | Kill Bill | Sza | source:amperwave-api
2026-04-17T01:09:59.487725+00:00 | Kill Bill | Sza | source:amperwave-api
2026-04-17T01:10:39.859148+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-17T01:11:20.262192+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-17T01:12:00.439593+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-17T01:12:42.035734+00:00 | Blink | Corbyn Benson Ft. Tzuyu | source:amperwave-api
2026-04-17T01:14:04.703024+00:00 | Blink | Corbyn Benson Ft. Tzuyu | source:amperwave-api
2026-04-17T01:14:43.372447+00:00 | Blink | Corbyn Benson Ft. Tzuyu | source:amperwave-api
2026-04-17T01:15:26.250901+00:00 | Buy U A Drank | T-Pain Feat. Yung Joc | source:amperwave-api
2026-04-17T01:16:05.600683+00:00 | Buy U A Drank | T-Pain Feat. Yung Joc | source:amperwave-api
2026-04-17T01:16:46.141861+00:00 | Buy U A Drank | T-Pain Feat. Yung Joc | source:amperwave-api
2026-04-17T01:17:23.988763+00:00 | Buy U A Drank | T-Pain Feat. Yung Joc | source:amperwave-api
2026-04-17T01:18:03.487843+00:00 | Buy U A Drank | T-Pain Feat. Yung Joc | source:amperwave-api
2026-04-17T01:18:43.689916+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-17T01:19:22.605536+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-17T01:20:02.705300+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-17T01:20:43.477756+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-17T01:21:22.865281+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-17T01:22:02.203475+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-17T01:23:48.191679+00:00 | Pink Pony Club | Chappell Roan | source:amperwave-api
2026-04-17T01:24:30.512564+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-17T01:25:10.142743+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-17T01:25:52.135541+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-17T01:26:33.010574+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-17T01:28:00.819718+00:00 | I Had Some Help | Post Malone X Morgan Wallen | source:amperwave-api
2026-04-17T01:28:41.667790+00:00 | I Had Some Help | Post Malone X Morgan Wallen | source:amperwave-api
2026-04-17T01:29:19.862308+00:00 | I Had Some Help | Post Malone X Morgan Wallen | source:amperwave-api
2026-04-17T01:29:59.256065+00:00 | I Had Some Help | Post Malone X Morgan Wallen | source:amperwave-api
2026-04-17T01:30:42.414462+00:00 | Dracula | Tame Impala | source:amperwave-api
2026-04-17T01:32:02.611521+00:00 | Dracula | Tame Impala | source:amperwave-api
2026-04-17T01:32:40.457853+00:00 | Dracula | Tame Impala | source:amperwave-api
2026-04-17T01:33:19.430416+00:00 | Dracula | Tame Impala | source:amperwave-api
2026-04-17T01:33:59.417363+00:00 | We Cant Be Friends | Ariana Grande | source:amperwave-api
2026-04-17T01:34:39.485133+00:00 | We Cant Be Friends | Ariana Grande | source:amperwave-api
2026-04-17T01:36:10.636185+00:00 | We Cant Be Friends | Ariana Grande | source:amperwave-api
2026-04-17T01:36:48.992070+00:00 | We Cant Be Friends | Ariana Grande | source:amperwave-api
2026-04-17T01:37:28.314858+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-17T01:38:09.123130+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-17T01:38:49.365861+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T01:40:22.124739+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T01:41:04.309424+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T01:41:43.242026+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-17T01:42:22.564444+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-17T01:43:04.230011+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-17T01:43:44.451813+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-17T01:44:23.984256+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-17T01:45:04.837991+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-17T01:45:44.668700+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-17T01:46:22.935146+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-17T01:47:02.383156+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-17T01:47:40.742673+00:00 | Love Me Not | Ravyn Lenae | source:amperwave-api
2026-04-17T01:48:19.740651+00:00 | Love Me Not | Ravyn Lenae | source:amperwave-api
2026-04-17T01:48:57.610467+00:00 | Love Me Not | Ravyn Lenae | source:amperwave-api
2026-04-17T01:49:36.449998+00:00 | Love Me Not | Ravyn Lenae | source:amperwave-api
2026-04-17T01:50:17.275645+00:00 | Love Me Not | Ravyn Lenae | source:amperwave-api
2026-04-17T01:50:56.518106+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-17T01:51:37.441618+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-17T01:52:17.470168+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-17T01:52:59.404741+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-17T01:53:38.955377+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-17T01:55:04.413778+00:00 | Yeah 3X | Chris Brown | source:amperwave-api
2026-04-17T01:55:45.351389+00:00 | Yeah 3X | Chris Brown | source:amperwave-api
2026-04-17T01:56:25.619380+00:00 | Yeah 3X | Chris Brown | source:amperwave-api
2026-04-17T01:57:07.936844+00:00 | Yeah 3X | Chris Brown | source:amperwave-api
2026-04-17T01:57:48.719640+00:00 | Yeah 3X | Chris Brown | source:amperwave-api
2026-04-17T01:58:28.212926+00:00 | Manchild | Sabrina Carpenter | source:amperwave-api
2026-04-17T01:59:07.923201+00:00 | Manchild | Sabrina Carpenter | source:amperwave-api
2026-04-17T01:59:49.091705+00:00 | Manchild | Sabrina Carpenter | source:amperwave-api
2026-04-17T02:00:30.474450+00:00 | Manchild | Sabrina Carpenter | source:amperwave-api
2026-04-17T02:01:12.445797+00:00 | Manchild | Sabrina Carpenter | source:amperwave-api
2026-04-17T02:01:51.407580+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-17T02:02:31.615931+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-17T02:03:11.260116+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-17T02:03:48.993301+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-17T02:04:29.904629+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-17T02:05:08.904848+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-17T02:06:24.720579+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-17T02:07:05.154086+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-17T02:07:45.423948+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-17T02:08:26.530686+00:00 | Greedy | Tate Mcrae | source:amperwave-api
2026-04-17T02:09:07.719326+00:00 | Greedy | Tate Mcrae | source:amperwave-api
2026-04-17T02:10:22.295424+00:00 | Forever Young | David Guetta X Ava Max | source:amperwave-api
2026-04-17T02:11:02.039654+00:00 | Forever Young | David Guetta X Ava Max | source:amperwave-api
2026-04-17T02:11:39.807805+00:00 | Forever Young | David Guetta X Ava Max | source:amperwave-api
2026-04-17T02:12:18.657142+00:00 | Forever Young | David Guetta X Ava Max | source:amperwave-api
2026-04-17T02:12:57.501834+00:00 | Forever Young | David Guetta X Ava Max | source:amperwave-api
2026-04-17T02:14:32.264829+00:00 | Go | Blackpink | source:amperwave-api
2026-04-17T02:15:10.565079+00:00 | Go | Blackpink | source:amperwave-api
2026-04-17T02:15:49.264817+00:00 | Go | Blackpink | source:amperwave-api
2026-04-17T02:16:32.603022+00:00 | Uma Thurman | Fall Out Boy | source:amperwave-api
2026-04-17T02:17:13.858036+00:00 | Uma Thurman | Fall Out Boy | source:amperwave-api
2026-04-17T02:18:35.253600+00:00 | Uma Thurman | Fall Out Boy | source:amperwave-api
2026-04-17T02:19:14.349519+00:00 | Uma Thurman | Fall Out Boy | source:amperwave-api
2026-04-17T02:19:54.207607+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-17T02:20:33.207717+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-17T02:21:13.683276+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-17T02:22:40.650029+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-17T02:23:19.156679+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-17T02:23:58.452819+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-17T02:24:38.189977+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-17T02:25:20.120894+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-17T02:25:59.482686+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-17T02:26:44.904667+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-17T02:27:23.643629+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-17T02:28:02.458326+00:00 | Million Dollar Baby | Tommy Richman | source:amperwave-api
2026-04-17T02:28:42.925973+00:00 | Million Dollar Baby | Tommy Richman | source:amperwave-api
2026-04-17T02:29:22.413262+00:00 | Million Dollar Baby | Tommy Richman | source:amperwave-api
2026-04-17T02:30:04.452342+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-17T02:30:43.392970+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-17T02:31:26.308911+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-17T02:36:26.738251+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-17T02:40:48.541505+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-17T02:45:31.053849+00:00 | Paint The Town Red | Doja Cat | source:amperwave-api
2026-04-17T02:51:22.528277+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-17T02:56:39.169861+00:00 | Go! | Cortis | source:amperwave-api
2026-04-17T03:01:59.722971+00:00 | Too Sweet | Hozier | source:amperwave-api
2026-04-17T03:07:32.795452+00:00 | Tokyo Drift | One Or Eight | source:amperwave-api
2026-04-17T03:12:26.988525+00:00 | Luther | Kendrick Lamar X Sza | source:amperwave-api
2026-04-17T03:17:50.069968+00:00 | Folded | Kehlani | source:amperwave-api
