2026-04-18T00:00:04.124249+00:00 | Too Sweet | Hozier | source:amperwave-api
2026-04-18T00:00:39.522305+00:00 | Too Sweet | Hozier | source:amperwave-api
2026-04-18T00:01:15.943514+00:00 | Too Sweet | Hozier | source:amperwave-api
2026-04-18T00:01:53.387668+00:00 | Too Sweet | Hozier | source:amperwave-api
2026-04-18T00:02:41.646339+00:00 | Too Sweet | Hozier | source:amperwave-api
2026-04-18T00:03:17.264111+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-18T00:03:54.691800+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-18T00:05:07.346405+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-18T00:05:43.674143+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-18T00:06:23.274748+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T00:07:32.630308+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T00:08:08.339874+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T00:08:44.771647+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T00:09:54.445683+00:00 | Sure Thing | Miguel | source:amperwave-api
2026-04-18T00:10:31.883704+00:00 | Sure Thing | Miguel | source:amperwave-api
2026-04-18T00:11:08.834885+00:00 | Sure Thing | Miguel | source:amperwave-api
2026-04-18T00:12:10.313603+00:00 | Sure Thing | Miguel | source:amperwave-api
2026-04-18T00:12:46.375349+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-18T00:13:22.107581+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-18T00:14:25.655392+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-18T00:15:09.376767+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-18T00:15:45.592001+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-18T00:16:22.033936+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-18T00:16:58.782322+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-18T00:17:33.605000+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-18T00:18:08.765922+00:00 | We Found Love | Rihanna / Calvin Harris | source:amperwave-api
2026-04-18T00:18:44.855513+00:00 | We Found Love | Rihanna / Calvin Harris | source:amperwave-api
2026-04-18T00:19:20.551593+00:00 | We Found Love | Rihanna / Calvin Harris | source:amperwave-api
2026-04-18T00:19:57.957446+00:00 | We Found Love | Rihanna / Calvin Harris | source:amperwave-api
2026-04-18T00:20:34.496364+00:00 | We Found Love | Rihanna / Calvin Harris | source:amperwave-api
2026-04-18T00:21:10.161300+00:00 | We Found Love | Rihanna / Calvin Harris | source:amperwave-api
2026-04-18T00:21:46.005770+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-18T00:22:21.821094+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-18T00:22:58.591663+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-18T00:23:39.748318+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-18T00:24:15.224999+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-18T00:24:50.854916+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-18T00:26:02.899787+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-18T00:26:39.879265+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-18T00:27:15.357310+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-18T00:28:20.454512+00:00 | Million Dollar Baby | Tommy Richman | source:amperwave-api
2026-04-18T00:28:56.787308+00:00 | Million Dollar Baby | Tommy Richman | source:amperwave-api
2026-04-18T00:29:32.921134+00:00 | Million Dollar Baby | Tommy Richman | source:amperwave-api
2026-04-18T00:30:40.564452+00:00 | Paint The Town Red | Doja Cat | source:amperwave-api
2026-04-18T00:31:16.369260+00:00 | Paint The Town Red | Doja Cat | source:amperwave-api
2026-04-18T00:31:52.235278+00:00 | Paint The Town Red | Doja Cat | source:amperwave-api
2026-04-18T00:32:50.821917+00:00 | Paint The Town Red | Doja Cat | source:amperwave-api
2026-04-18T00:33:29.685746+00:00 | Dracula | Tame Impala | source:amperwave-api
2026-04-18T00:34:06.288906+00:00 | Dracula | Tame Impala | source:amperwave-api
2026-04-18T00:35:10.048240+00:00 | Dracula | Tame Impala | source:amperwave-api
2026-04-18T00:35:48.552348+00:00 | Dracula | Tame Impala | source:amperwave-api
2026-04-18T00:36:24.747323+00:00 | Revolving Door | Tate Mcrae | source:amperwave-api
2026-04-18T00:37:01.192799+00:00 | Revolving Door | Tate Mcrae | source:amperwave-api
2026-04-18T00:37:40.594357+00:00 | Revolving Door | Tate Mcrae | source:amperwave-api
2026-04-18T00:38:16.528271+00:00 | Revolving Door | Tate Mcrae | source:amperwave-api
2026-04-18T00:38:54.162921+00:00 | Revolving Door | Tate Mcrae | source:amperwave-api
2026-04-18T00:39:38.166310+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-18T00:40:14.472947+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-18T00:40:50.451054+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-18T00:41:26.744707+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-18T00:42:03.005959+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-18T00:42:38.939820+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-18T00:43:15.004180+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-18T00:43:50.462042+00:00 | Twilight Zone | Ariana Grande | source:amperwave-api
2026-04-18T00:44:38.445549+00:00 | Twilight Zone | Ariana Grande | source:amperwave-api
2026-04-18T00:45:15.508581+00:00 | Twilight Zone | Ariana Grande | source:amperwave-api
2026-04-18T00:45:51.863436+00:00 | Twilight Zone | Ariana Grande | source:amperwave-api
2026-04-18T00:46:59.995873+00:00 | Twilight Zone | Ariana Grande | source:amperwave-api
2026-04-18T00:47:36.377613+00:00 | Twilight Zone | Ariana Grande | source:amperwave-api
2026-04-18T00:48:11.801926+00:00 | Twilight Zone | Ariana Grande | source:amperwave-api
2026-04-18T00:49:18.857491+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-18T00:49:56.384336+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-18T00:50:33.328190+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-18T00:51:34.794540+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-18T00:52:14.993699+00:00 | Damn I Love Miami | Pitbull Feat. Lil Jon | source:amperwave-api
2026-04-18T00:52:52.166456+00:00 | Damn I Love Miami | Pitbull Feat. Lil Jon | source:amperwave-api
2026-04-18T00:53:33.924700+00:00 | Damn I Love Miami | Pitbull Feat. Lil Jon | source:amperwave-api
2026-04-18T00:54:18.696465+00:00 | Damn I Love Miami | Pitbull Feat. Lil Jon | source:amperwave-api
2026-04-18T00:54:55.558132+00:00 | Starships | Nicki Minaj | source:amperwave-api
2026-04-18T00:55:31.633601+00:00 | Starships | Nicki Minaj | source:amperwave-api
2026-04-18T00:56:47.274035+00:00 | Starships | Nicki Minaj | source:amperwave-api
2026-04-18T00:57:23.325546+00:00 | Starships | Nicki Minaj | source:amperwave-api
2026-04-18T00:58:00.963481+00:00 | Starships | Nicki Minaj | source:amperwave-api
2026-04-18T00:58:36.999483+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-18T00:59:13.140055+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-18T00:59:50.258722+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-18T01:00:32.363864+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-18T01:01:09.760601+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-18T01:01:47.164843+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-18T01:02:23.229931+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-18T01:03:01.760524+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-18T01:03:38.324929+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-18T01:04:15.340847+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-18T01:04:51.489277+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-18T01:05:41.268365+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-18T01:06:18.215375+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-18T01:06:54.689878+00:00 | Sweater Weather | The Neighbourhood | source:amperwave-api
2026-04-18T01:07:30.873429+00:00 | Sweater Weather | The Neighbourhood | source:amperwave-api
2026-04-18T01:08:24.001525+00:00 | Sweater Weather | The Neighbourhood | source:amperwave-api
2026-04-18T01:09:01.813150+00:00 | Sweater Weather | The Neighbourhood | source:amperwave-api
2026-04-18T01:09:38.464131+00:00 | Sweater Weather | The Neighbourhood | source:amperwave-api
2026-04-18T01:10:16.324077+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T01:11:04.568996+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T01:11:40.612793+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T01:12:17.133904+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T01:13:23.103180+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T01:14:02.087649+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-18T01:14:38.725505+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-18T01:15:14.371179+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-18T01:15:53.233561+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-18T01:16:29.409438+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-18T01:17:06.648452+00:00 | Mockingbird | Eminem | source:amperwave-api
2026-04-18T01:18:16.123986+00:00 | Mockingbird | Eminem | source:amperwave-api
2026-04-18T01:18:51.910454+00:00 | Mockingbird | Eminem | source:amperwave-api
2026-04-18T01:19:29.097542+00:00 | Mockingbird | Eminem | source:amperwave-api
2026-04-18T01:20:07.501764+00:00 | Mockingbird | Eminem | source:amperwave-api
2026-04-18T01:20:47.070800+00:00 | Taste | Sabrina Carpenter | source:amperwave-api
2026-04-18T01:21:23.063238+00:00 | Taste | Sabrina Carpenter | source:amperwave-api
2026-04-18T01:21:59.961048+00:00 | Taste | Sabrina Carpenter | source:amperwave-api
2026-04-18T01:22:36.485045+00:00 | Taste | Sabrina Carpenter | source:amperwave-api
2026-04-18T01:23:14.085505+00:00 | Taste | Sabrina Carpenter | source:amperwave-api
2026-04-18T01:23:51.825863+00:00 | Taste | Sabrina Carpenter | source:amperwave-api
2026-04-18T01:24:27.971584+00:00 | Taste | Sabrina Carpenter | source:amperwave-api
2026-04-18T01:25:04.105192+00:00 | Taste | Sabrina Carpenter | source:amperwave-api
2026-04-18T01:25:40.639141+00:00 | Taste | Sabrina Carpenter | source:amperwave-api
2026-04-18T01:26:16.970804+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-18T01:26:53.876072+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-18T01:27:40.643727+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-18T01:28:17.198794+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-18T01:28:54.201375+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-18T01:30:05.051669+00:00 | Agora Hills | Doja Cat | source:amperwave-api
2026-04-18T01:30:41.412728+00:00 | Agora Hills | Doja Cat | source:amperwave-api
2026-04-18T01:31:17.993606+00:00 | Agora Hills | Doja Cat | source:amperwave-api
2026-04-18T01:32:27.295583+00:00 | Agora Hills | Doja Cat | source:amperwave-api
2026-04-18T01:33:03.955309+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-18T01:33:40.263140+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-18T01:34:39.104647+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-18T01:35:14.633233+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-18T01:35:49.990952+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-18T01:36:55.083835+00:00 | Good 4 U | Olivia Rodrigo | source:amperwave-api
2026-04-18T01:37:30.978512+00:00 | Good 4 U | Olivia Rodrigo | source:amperwave-api
2026-04-18T01:38:06.534630+00:00 | Good 4 U | Olivia Rodrigo | source:amperwave-api
2026-04-18T01:39:09.957087+00:00 | Good 4 U | Olivia Rodrigo | source:amperwave-api
2026-04-18T01:39:45.612846+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-18T01:40:20.980938+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-18T01:40:57.384437+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-18T01:41:32.907834+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-18T01:42:08.319954+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-18T01:42:44.019224+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-18T01:43:20.034135+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-18T01:43:56.008627+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-18T01:44:31.528834+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-18T01:45:07.754100+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-18T01:45:42.993801+00:00 | Good News | Shaboozey | source:amperwave-api
2026-04-18T01:46:19.609761+00:00 | Good News | Shaboozey | source:amperwave-api
2026-04-18T01:46:55.117104+00:00 | Good News | Shaboozey | source:amperwave-api
2026-04-18T01:47:30.708180+00:00 | Good News | Shaboozey | source:amperwave-api
2026-04-18T01:48:38.190829+00:00 | Good News | Shaboozey | source:amperwave-api
2026-04-18T01:49:14.576116+00:00 | Good News | Shaboozey | source:amperwave-api
2026-04-18T01:49:51.278929+00:00 | Good News | Shaboozey | source:amperwave-api
2026-04-18T01:50:53.844067+00:00 | Good News | Shaboozey | source:amperwave-api
2026-04-18T01:51:29.920604+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-18T01:52:05.017565+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-18T01:53:12.162114+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-18T01:53:48.456155+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-18T01:54:24.481371+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T01:55:35.120581+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T01:56:11.001186+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T01:56:47.475287+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T01:57:51.603335+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T01:58:28.992870+00:00 | Hot In Herre | Nelly | source:amperwave-api
2026-04-18T01:59:04.933120+00:00 | Hot In Herre | Nelly | source:amperwave-api
