2026-04-19T14:41:42.388086+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T14:42:47.853532+00:00 | Midnight Sun | Zara Larson | source:amperwave-api
2026-04-19T14:43:48.032407+00:00 | Midnight Sun | Zara Larson | source:amperwave-api
2026-04-19T14:46:17.479658+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-19T14:48:23.833928+00:00 | The Middle | Zedd | source:amperwave-api
2026-04-19T14:50:14.601218+00:00 | The Middle | Zedd | source:amperwave-api
2026-04-19T14:52:12.135064+00:00 | Stay | Kid Laroi X Justin Bieber | source:amperwave-api
2026-04-19T14:54:08.485373+00:00 | Whatever It Takes | Imagine Dragons | source:amperwave-api
2026-04-19T14:56:08.846953+00:00 | Houdini | Dua Lipa | source:amperwave-api
2026-04-19T14:58:09.316358+00:00 | Houdini | Dua Lipa | source:amperwave-api
2026-04-19T15:00:02.438117+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T15:01:42.620836+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T15:03:45.348975+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-19T15:05:12.987924+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-19T15:06:48.813339+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-19T15:08:05.415019+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-19T15:09:31.010643+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-19T15:11:12.771625+00:00 | Jealous Type | Doja Cat | source:amperwave-api
2026-04-19T15:12:38.487972+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T15:13:31.411989+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T15:14:39.261935+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T15:15:19.868641+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T15:16:00.909535+00:00 | Lighter | Jelly Roll Ft Carin Leon | source:amperwave-api
2026-04-19T15:16:43.047650+00:00 | Lighter | Jelly Roll Ft Carin Leon | source:amperwave-api
2026-04-19T15:17:23.677855+00:00 | Lighter | Jelly Roll Ft Carin Leon | source:amperwave-api
2026-04-19T15:18:04.335332+00:00 | Lighter | Jelly Roll Ft Carin Leon | source:amperwave-api
