2026-04-11T15:29:39.442852+00:00 | Mama, Im Coming Home | Ozzy Osbourne | source:amperwave-api
2026-04-11T15:30:14.939785+00:00 | Mama, Im Coming Home | Ozzy Osbourne | source:amperwave-api
2026-04-11T15:30:50.725763+00:00 | Mama, Im Coming Home | Ozzy Osbourne | source:amperwave-api
2026-04-11T15:31:30.233229+00:00 | Come Sail Away | Styx | source:amperwave-api
2026-04-11T15:32:05.728860+00:00 | Come Sail Away | Styx | source:amperwave-api
2026-04-11T15:32:41.150741+00:00 | Come Sail Away | Styx | source:amperwave-api
2026-04-11T15:33:20.265435+00:00 | Come Sail Away | Styx | source:amperwave-api
2026-04-11T15:33:56.353549+00:00 | Come Sail Away | Styx | source:amperwave-api
2026-04-11T19:06:02.564102+00:00 | Living After Midnight | Judas Priest | source:amperwave-api
2026-04-11T19:06:38.895526+00:00 | Roxanne | Police | source:amperwave-api
2026-04-11T19:07:30.219030+00:00 | Roxanne | Police | source:amperwave-api
2026-04-11T19:08:05.082280+00:00 | Roxanne | Police | source:amperwave-api
2026-04-11T19:09:03.645612+00:00 | Roxanne | Police | source:amperwave-api
2026-04-11T19:09:39.211052+00:00 | Mr. Crowley | Ozzy Osbourne | source:amperwave-api
2026-04-11T19:10:14.141517+00:00 | Mr. Crowley | Ozzy Osbourne | source:amperwave-api
2026-04-11T19:10:49.811611+00:00 | Mr. Crowley | Ozzy Osbourne | source:amperwave-api
2026-04-11T19:11:24.763022+00:00 | Mr. Crowley | Ozzy Osbourne | source:amperwave-api
2026-04-11T19:11:59.726775+00:00 | Mr. Crowley | Ozzy Osbourne | source:amperwave-api
2026-04-11T19:12:37.991817+00:00 | Mr. Crowley | Ozzy Osbourne | source:amperwave-api
2026-04-11T19:13:12.787234+00:00 | Mr. Crowley | Ozzy Osbourne | source:amperwave-api
2026-04-11T19:14:14.542009+00:00 | Mr. Crowley | Ozzy Osbourne | source:amperwave-api
2026-04-11T19:14:49.535672+00:00 | Turn The Page | Bob Seger The Silver Bullet Band | source:amperwave-api
2026-04-11T19:15:24.673547+00:00 | Turn The Page | Bob Seger The Silver Bullet Band | source:amperwave-api
2026-04-11T19:15:59.959034+00:00 | Turn The Page | Bob Seger The Silver Bullet Band | source:amperwave-api
