2026-04-18T00:00:04.477311+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:00:39.924689+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:01:16.306169+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:01:53.884123+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:02:42.038786+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:03:17.778123+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:03:55.051264+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:05:07.821227+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:05:44.109091+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:06:23.734311+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:07:33.133865+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:08:08.705978+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:08:45.173544+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:09:54.835337+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:10:32.455548+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:11:09.475068+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:12:10.960190+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:12:46.869659+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:13:22.564678+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:14:26.134917+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:15:09.745830+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:15:46.329069+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:16:22.442522+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:16:59.143673+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:17:33.988326+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:18:09.301027+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:18:45.230522+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:19:21.089379+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:19:58.430377+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:20:34.842677+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:21:10.700249+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:21:46.522492+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:22:22.360959+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:22:59.011185+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:23:40.201265+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:24:15.685017+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:24:51.169740+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:26:03.369575+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:26:40.334949+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:27:15.698491+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:28:20.849619+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:28:57.235812+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:29:33.564221+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:30:41.003508+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:31:16.829814+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:31:52.590195+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:32:52.027553+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:33:30.066060+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:34:06.642520+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:35:10.494449+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:35:48.919970+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:36:25.090082+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:37:02.695431+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:37:41.273378+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:38:17.056013+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:38:54.582109+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:39:38.501894+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:40:14.885643+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:40:50.979899+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:41:27.079332+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:42:03.564805+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:42:39.338207+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:43:15.388180+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:43:50.803640+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:44:38.818858+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:45:15.989158+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:45:52.220909+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:47:00.418642+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:47:36.688400+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:48:12.335834+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:49:20.627220+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:49:57.223657+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:50:33.906202+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:51:39.804783+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:52:15.540025+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:52:57.922373+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:53:34.445680+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:54:19.164168+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:54:56.061197+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:55:32.043175+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:56:47.680958+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:57:23.804172+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:58:01.318616+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:58:37.455725+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:59:13.504764+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T00:59:50.613164+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:00:32.805902+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:01:10.376056+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:01:47.761071+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:02:23.694678+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:03:02.357119+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:03:38.888472+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:04:15.737214+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:04:51.974396+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:05:41.981153+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:06:18.733546+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:06:55.062619+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:07:31.282640+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:08:24.438514+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:09:02.187861+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:09:39.330211+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:10:16.646524+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:11:05.064264+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:11:40.985001+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:12:17.562755+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:13:25.965692+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:14:02.808829+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:14:39.260042+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:15:14.763609+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:15:53.804809+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:16:29.842296+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:17:07.216211+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:18:16.456393+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:18:52.308609+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:19:29.454645+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:20:08.412352+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:20:47.484594+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:21:23.549696+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:22:00.876158+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:22:37.005692+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:23:14.920334+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:23:52.292352+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:24:28.657228+00:00 | Heartache Tonight | Eagles | source:amperwave-api
2026-04-18T01:25:04.656731+00:00 | Heartache Tonight | Eagles | source:amperwave-api
